iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__l2_regularization,param_model__learning_rate,param_model__loss,param_model__max_iter,param_model__min_samples_leaf,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
0,20,0.043776869773864746,0.006748362689070202,0.002604246139526367,6.0010387349390264e-05,0.1,0.001,squared_error,100,1,"{'model__l2_regularization': 0.1, 'model__learning_rate': 0.001, 'model__loss': 'squared_error', 'model__max_iter': 100, 'model__min_samples_leaf': 1}",-439.4859919300703,-0.13403025086464404,-2731.92213223879,,,,,,,,,,601,0.1725418048074291,0.1701756258081063,0.17417788074828855,0.17159703496215506,0.17345804108525864,0.1682565118535232,0.1740108455282504,0.1737770855299382,0.17158961638985715,0.17325849173070562,0.17228429384435123,0.0018114233433843023
0,20,0.030208706855773926,0.004788324812936346,0.002695798873901367,0.00026082513096951405,0.1,0.001,squared_error,100,2,"{'model__l2_regularization': 0.1, 'model__learning_rate': 0.001, 'model__loss': 'squared_error', 'model__max_iter': 100, 'model__min_samples_leaf': 2}",-436.9232004562817,-0.06986919938924374,-2728.926124984634,,,,,,,,,,804,0.16996344662200258,0.15991397754543357,0.16637652672103498,0.15976142054798592,0.16760877907266025,0.15407052141690425,0.1580382221376071,0.17303281340275922,0.1709340352924753,0.16159576699005995,0.1641295509748923,0.005985961927451258
0,20,0.01434628963470459,0.002173412926419001,0.0030593395233154295,0.0012773794859194415,0.1,0.001,squared_error,100,5,"{'model__l2_regularization': 0.1, 'model__learning_rate': 0.001, 'model__loss': 'squared_error', 'model__max_iter': 100, 'model__min_samples_leaf': 5}",-452.0362922386628,-0.1472711381633347,-2799.6648945239,,,,,,,,,,803,0.08900096655089684,0.11253208001592252,0.13177234785667447,0.1293663154158805,0.14683243574781046,0.10503591873816043,0.1347849559314076,0.1404340704324355,0.14821053830773168,0.12626617908970594,0.1264235808086626,0.018015412852999797
0,20,0.007417535781860352,0.0003206511706335819,0.0023290157318115235,4.3053299316095376e-05,0.1,0.001,squared_error,100,10,"{'model__l2_regularization': 0.1, 'model__learning_rate': 0.001, 'model__loss': 'squared_error', 'model__max_iter': 100, 'model__min_samples_leaf': 10}",-509.9320698846302,-0.2725608399274895,-3347.549161565892,,,,,,,,,,802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,20,0.00738680362701416,0.0001568849053193819,0.002361607551574707,8.70508677738905e-05,0.1,0.001,squared_error,100,20,"{'model__l2_regularization': 0.1, 'model__learning_rate': 0.001, 'model__loss': 'squared_error', 'model__max_iter': 100, 'model__min_samples_leaf': 20}",-509.9320698846302,-0.2725608399274895,-3347.549161565892,,,,,,,,,,801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,20,0.16918187141418456,0.030520736789554276,0.006207656860351562,0.004668007239386761,0.1,0.001,squared_error,300,1,"{'model__l2_regularization': 0.1, 'model__learning_rate': 0.001, 'model__loss': 'squared_error', 'model__max_iter': 300, 'model__min_samples_leaf': 1}",-337.763746518926,0.08717826859167976,-1817.8606503358437,,,,,,,,,,800,0.43285356853479673,0.4283829792564495,0.4367242928022884,0.431203206326231,0.4343777762761495,0.424426540084068,0.43599835543940224,0.4357009968414257,0.4302475361641368,0.43478984921202035,0.4324705100936968,0.003716196584412397
0,20,0.1187859058380127,0.02345881914565494,0.005185413360595703,0.0035365581544597358,0.1,0.001,squared_error,300,2,"{'model__l2_regularization': 0.1, 'model__learning_rate': 0.001, 'model__loss': 'squared_error', 'model__max_iter': 300, 'model__min_samples_leaf': 2}",-327.9250432987205,0.23985329480518636,-1809.35233949459,,,,,,,,,,799,0.4247757730287218,0.4006269565065135,0.4215084207644041,0.4025814522121526,0.42422834931044884,0.39222583338112493,0.3964558677354141,0.4337485659161405,0.42836688423592983,0.4053987647523267,0.41299168678431764,0.01424244621493673
0,20,0.05910754203796387,0.016217765459676705,0.004755187034606934,0.0024373539575306535,0.1,0.001,squared_error,300,5,"{'model__l2_regularization': 0.1, 'model__learning_rate': 0.001, 'model__loss': 'squared_error', 'model__max_iter': 300, 'model__min_samples_leaf': 5}",-362.73226486758165,0.012860756666664308,-1887.6240886907765,,,,,,,,,,798,0.23308143010347593,0.2782040518740493,0.33403167757167407,0.32294500077952937,0.36652563127729165,0.27033116474413765,0.3363871275413872,0.350570657128044,0.36999489141641617,0.31551224134112876,0.3177583873777134,0.04220356802384028
0,20,0.01601433753967285,0.0031164335729115086,0.003577923774719238,0.0008231435778447498,0.1,0.001,squared_error,300,10,"{'model__l2_regularization': 0.1, 'model__learning_rate': 0.001, 'model__loss': 'squared_error', 'model__max_iter': 300, 'model__min_samples_leaf': 10}",-509.9320698846302,-0.2725608399274895,-3347.549161565892,,,,,,,,,,797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,20,0.016283226013183594,0.002816137126388772,0.0036769390106201174,0.0010409592858613712,0.1,0.001,squared_error,300,20,"{'model__l2_regularization': 0.1, 'model__learning_rate': 0.001, 'model__loss': 'squared_error', 'model__max_iter': 300, 'model__min_samples_leaf': 20}",-509.9320698846302,-0.2725608399274895,-3347.549161565892,,,,,,,,,,796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
