iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__bootstrap,param_model__max_depth,param_model__max_features,param_model__min_samples_leaf,param_model__min_samples_split,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
0,21,0.06067788600921631,0.0117291825250118,0.004897665977478027,0.0009703655562158837,True,10,auto,1,2,100,"{'model__bootstrap': True, 'model__max_depth': 10, 'model__max_features': 'auto', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 100}",-0.04743444515138617,-7.534954732589524,0.035930436314611236,-6900.411964614593,-121.642261797777,-224.53072482094095,-492.36387988558806,-35325.187906430554,-0.21834564630411557,-16.822990413093358,-4308.872453235027,10536.264711176214,1000,0.9551300570926101,0.8465430048260296,0.820595271422706,0.8607692733439696,0.934520961567105,0.9029976139525462,0.9347001648064601,0.901339438498882,0.9803133766625323,0.9448645866943473,0.9081773748867189,0.048930652338064165
0,21,0.1241978645324707,0.022687764802489793,0.01157066822052002,0.006823097014418531,True,10,auto,1,2,200,"{'model__bootstrap': True, 'model__max_depth': 10, 'model__max_features': 'auto', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 200}",-0.014651920739463753,-5.78714521317217,0.08208381823883693,-8762.799154265931,-104.502649108693,-192.37543339244823,-519.6649146749055,-28783.504764010944,-0.9258517091831617,-18.679887072724767,-3838.8172367550496,8707.640218645576,988,0.9489749473331537,0.8401689755900346,0.8463534385377746,0.880816322579497,0.9387728835698206,0.8799500878542118,0.9383161296645135,0.9041435159446753,0.960373652690495,0.9472624583329323,0.9085132412097108,0.042153124589367125
0,21,0.2749758005142212,0.014236150082862609,0.015689921379089356,0.0038044431212247596,True,10,auto,1,2,400,"{'model__bootstrap': True, 'model__max_depth': 10, 'model__max_features': 'auto', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 400}",-0.040559681440813344,-7.369105392707903,-0.024336325414229032,-8869.706562088604,-114.66305915944262,-196.41680504101583,-476.15395973210263,-33003.601437200836,-0.48080263409787816,-16.23537384601983,-4268.4692001101685,9929.702297131395,998,0.9492160390667799,0.8582477496061278,0.8521473794971955,0.8796652764022869,0.936040153026513,0.8845695891982872,0.9313634139804843,0.9010608302309969,0.9663411940009993,0.9519914101011206,0.9110643035110793,0.03907773677691543
0,21,0.38812472820281985,0.029245146529777496,0.025497937202453615,0.01097519136234563,True,10,auto,1,2,600,"{'model__bootstrap': True, 'model__max_depth': 10, 'model__max_features': 'auto', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 600}",-0.019306802269975387,-9.273492212024287,0.003352206793164947,-6465.663300131255,-124.60370865294901,-192.60821856122902,-480.218044162602,-31914.650281393817,-0.5588283411921546,-16.6023318791002,-3920.419415992964,9523.320932579927,992,0.955375746278133,0.8426540192763594,0.8587677580776365,0.8794332788191587,0.9395466078689354,0.8855453146578264,0.9283831562990955,0.9042043532061836,0.9687543949173855,0.9489791646040693,0.9111643794004781,0.04117519466443721
0,21,0.631548810005188,0.03952614523689525,0.03686928749084473,0.008366767607120434,True,10,auto,1,2,1000,"{'model__bootstrap': True, 'model__max_depth': 10, 'model__max_features': 'auto', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 1000}",-0.033083700129679317,-8.684950493983969,0.009567574879238094,-6853.016957685954,-116.9993847036971,-201.00655753005452,-485.11847289102934,-30911.57505685989,-0.7454614600831337,-16.433540517901942,-3859.3603898267843,9240.30554800015,990,0.9528172433956433,0.845426341958551,0.8400217616928725,0.8735993678066538,0.9355112316703642,0.8812326531747166,0.9351334816222323,0.9002989876152615,0.9610640975038117,0.954952402417479,0.9080057568857587,0.043609297989011475
0,21,0.07072238922119141,0.01606862056703597,0.005365443229675293,0.0022703501327359754,True,10,auto,1,5,100,"{'model__bootstrap': True, 'model__max_depth': 10, 'model__max_features': 'auto', 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 100}",-0.04108484533504875,-6.759505359861539,0.06763729379415384,-7233.74675261937,-98.594065932305,-229.4534456682286,-441.96107704545403,-25665.014417125498,-0.5271830847432522,-28.325125360345787,-3370.4355019747345,7730.978268871201,908,0.9133433039598952,0.7540585427646977,0.7871536062018036,0.8558083160977674,0.8966735082697955,0.8053687156389617,0.8902877417941597,0.8780725362455466,0.9306096549303279,0.8581449220212256,0.8569520847924181,0.0546470693299139
0,21,0.1253190279006958,0.018855162317106815,0.007729220390319824,0.002237681633023627,True,10,auto,1,5,200,"{'model__bootstrap': True, 'model__max_depth': 10, 'model__max_features': 'auto', 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 200}",-0.006311231071547629,-9.98730325035759,-0.026834538603267122,-5339.616082763851,-104.58637850128447,-201.5470307499212,-481.62689714828696,-31299.658581099455,-0.6059173515531446,-18.882121174396485,-3745.654345780878,9317.536386067308,981,0.9372168937518597,0.7889828534540659,0.7894976657514916,0.8755951276500501,0.898674396412676,0.8451876065081484,0.8960102659889756,0.8705371744961898,0.9424948307538071,0.8872855191723735,0.8731482333939636,0.05016342732580022
0,21,0.2507249116897583,0.018672737154860397,0.023228549957275392,0.006234847885344594,True,10,auto,1,5,400,"{'model__bootstrap': True, 'model__max_depth': 10, 'model__max_features': 'auto', 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 400}",-0.03356296135627046,-9.615765033828437,0.023299979508033863,-6357.226797407466,-111.68222636483516,-229.05100254838013,-487.2746340885566,-28424.45704679407,-0.5418776242047403,-20.356624723034763,-3564.0216237566224,8494.965983531407,960,0.9219750417694761,0.768635671725818,0.7697778087714118,0.856217471681098,0.9059397938586614,0.831319151232489,0.9014918879269643,0.8609545238727614,0.9408980326526071,0.8774006645952597,0.8634610048086546,0.056325598524848634
0,21,0.38205206394195557,0.02143165723152855,0.02551090717315674,0.013615521709730342,True,10,auto,1,5,600,"{'model__bootstrap': True, 'model__max_depth': 10, 'model__max_features': 'auto', 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 600}",-0.01852011874527104,-7.128522634769524,0.04381773183267823,-6692.480617892508,-109.40818228371079,-244.14108650170806,-468.5298845404916,-27981.901274714164,-0.5537955864418738,-22.122935028133714,-3552.624100156884,8377.686742894963,954,0.9242235610254448,0.7745725545541313,0.7860497253531799,0.8613862242048625,0.9007457049192081,0.8220718288726532,0.9005783281756893,0.8689316302848599,0.945436702665528,0.8857384592424141,0.8669734719297972,0.054031303588350156
0,21,0.6515933513641358,0.024846493508510308,0.03405096530914307,0.009508088271306137,True,10,auto,1,5,1000,"{'model__bootstrap': True, 'model__max_depth': 10, 'model__max_features': 'auto', 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 1000}",-0.02129222149233967,-7.9875906575014515,0.028948480115206898,-6638.30364925943,-105.39159281550012,-225.89907038770016,-446.26753842438217,-29996.589429899872,-0.48813371340314493,-21.10312336020995,-3744.2022472259378,8966.235274412053,980,0.9265293526759785,0.7770356745343773,0.7797949412569372,0.8506057293120985,0.8988529144188889,0.8255823829504575,0.8937504853530616,0.8609463750983537,0.940195760681163,0.8735044333021867,0.8626798049583503,0.05310966602294377
