iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__alpha,param_model__average,param_model__fit_intercept,param_model__learning_rate,param_model__loss,param_model__max_iter,param_model__penalty,param_model__shuffle,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
0,20,0.003184080123901367,0.0003714606452542118,0.001967310905456543,0.00045844592535052416,1e-10,True,True,optimal,squared_error,15000,l2,True,"{'model__alpha': 1e-10, 'model__average': True, 'model__fit_intercept': True, 'model__learning_rate': 'optimal', 'model__loss': 'squared_error', 'model__max_iter': 15000, 'model__penalty': 'l2', 'model__shuffle': True}",-1.4506578669463982e+19,-4.871920750451184e+18,-2.1612361417900755e+17,,,,,,,,,,2017,-2.0102793973279708e+16,-9.617118746997611e+16,-2.3441520461392172e+16,-9.034876693330539e+16,-1.944920575551137e+16,-6.285744526040865e+16,-5.092250428448978e+16,-1.456339555146703e+17,-2.35594223862261e+16,-1.095259462670341e+17,-6.420127483062936e+16,4.222564037826801e+16
0,20,0.003115940093994141,0.00025660491811074456,0.0018164157867431641,6.423380598834623e-05,1e-10,True,True,optimal,squared_error,15000,l2,False,"{'model__alpha': 1e-10, 'model__average': True, 'model__fit_intercept': True, 'model__learning_rate': 'optimal', 'model__loss': 'squared_error', 'model__max_iter': 15000, 'model__penalty': 'l2', 'model__shuffle': False}",-5.060000215861562e+18,-5.559380153907677e+17,-1.568185531781416e+16,,,,,,,,,,2027,-2.2429261500188468e+16,-6.660562908950042e+16,-1.1087126585056588e+16,-2.6725426120543224e+16,-5.316209901101811e+16,-4.6243270495535976e+16,-7.476793517804643e+16,-3.5040253314287644e+16,-1.8452289841348064e+16,-4.82282634334815e+16,-4.027415545690063e+16,2.0014102808071692e+16
0,20,0.005434346199035644,0.0003779071367654497,0.0019973993301391603,0.00023297009085900775,1e-10,True,True,optimal,huber,1000,l1,True,"{'model__alpha': 1e-10, 'model__average': True, 'model__fit_intercept': True, 'model__learning_rate': 'optimal', 'model__loss': 'huber', 'model__max_iter': 1000, 'model__penalty': 'l1', 'model__shuffle': True}",-153.39512050349697,-120.89913365876036,-0.9774323329171781,,,,,,,,,,2018,-0.5667137102569526,-1.0435057937955077,-0.7388822474775509,-0.8148987199814,-1.266193008669469,-0.7613006752650915,-1.302892788773284,-1.8128787053841284,-1.1426476262582757,-1.2959772453171978,-1.0745890521178858,0.349963176953725
0,20,0.00533604621887207,0.00034709220436772046,0.0019418001174926758,9.776512203903759e-05,1e-10,True,True,optimal,huber,1000,l1,False,"{'model__alpha': 1e-10, 'model__average': True, 'model__fit_intercept': True, 'model__learning_rate': 'optimal', 'model__loss': 'huber', 'model__max_iter': 1000, 'model__penalty': 'l1', 'model__shuffle': False}",-153.38550922481787,-120.8961764882389,-0.9770267066301663,,,,,,,,,,2019,-0.5666576044252722,-1.0435881509819311,-0.7387927828057912,-0.8149903767802416,-1.2662537127172762,-0.7612685487962854,-1.3029121189828001,-1.8130442515370149,-1.1427172719060672,-1.2959617214536965,-1.0746186540386378,0.3500151292131662
0,20,0.004930853843688965,0.0012589654284896903,0.0019070625305175782,0.00029095741838736176,1e-10,True,True,optimal,huber,1000,l2,True,"{'model__alpha': 1e-10, 'model__average': True, 'model__fit_intercept': True, 'model__learning_rate': 'optimal', 'model__loss': 'huber', 'model__max_iter': 1000, 'model__penalty': 'l2', 'model__shuffle': True}",-153.4021845411294,-120.9023365359734,-0.977431535416236,,,,,,,,,,2020,-0.5667166112386521,-1.0435110583794511,-0.738912195815173,-0.814932101706981,-1.2662220936182806,-0.7613288039515269,-1.3029143231039608,-1.813033614639985,-1.1427481819235905,-1.29597556846463,-1.074629455284223,0.34999236975833053
0,20,0.004575681686401367,0.00035975623673317693,0.0018277883529663086,6.257205105099977e-05,1e-10,True,True,optimal,huber,1000,l2,False,"{'model__alpha': 1e-10, 'model__average': True, 'model__fit_intercept': True, 'model__learning_rate': 'optimal', 'model__loss': 'huber', 'model__max_iter': 1000, 'model__penalty': 'l2', 'model__shuffle': False}",-153.39181082945566,-120.91218728256183,-0.9770806190969539,,,,,,,,,,2021,-0.5666891622530592,-1.0436925563065844,-0.7388183339044776,-0.8150410553282361,-1.2663044982214515,-0.7612907830682487,-1.3029652248313446,-1.8131150158560385,-1.1427722824891595,-1.2960516645778113,-1.0746740576836413,0.3500293547447081
0,20,0.014811038970947266,0.0045544276921209974,0.0019838094711303713,0.00015755528990750545,1e-10,True,True,optimal,huber,5000,l1,True,"{'model__alpha': 1e-10, 'model__average': True, 'model__fit_intercept': True, 'model__learning_rate': 'optimal', 'model__loss': 'huber', 'model__max_iter': 5000, 'model__penalty': 'l1', 'model__shuffle': True}",-33.72462355325931,-10.863304862217118,0.23271100607848938,,,,,,,,,,2022,0.25466934402225405,0.26891938643872926,-0.2058513460504665,0.1750868315890297,-0.23847154636655032,-0.20287501643733008,-0.39319023325523395,-0.3999946735487667,-0.2825142412007058,0.17763128295803865,-0.08465902118510016,0.25739487292017094
0,20,0.016228103637695314,0.005629751422223493,0.0019622087478637696,0.00011211213558281455,1e-10,True,True,optimal,huber,5000,l1,False,"{'model__alpha': 1e-10, 'model__average': True, 'model__fit_intercept': True, 'model__learning_rate': 'optimal', 'model__loss': 'huber', 'model__max_iter': 5000, 'model__penalty': 'l1', 'model__shuffle': False}",-33.72074694264335,-10.858757073472093,0.23286120214318562,,,,,,,,,,2023,0.2546679818560522,0.26888402653957966,-0.20580078048360972,0.17505295498354068,-0.23850780204422106,-0.20288582799334232,-0.3932870796149739,-0.4001657055719994,-0.28255357324063235,0.17760455772041084,-0.08469912478491955,0.25741956647314573
0,20,0.012535524368286134,0.004977380683151151,0.003712773323059082,0.0037851446989212363,1e-10,True,True,optimal,huber,5000,l2,True,"{'model__alpha': 1e-10, 'model__average': True, 'model__fit_intercept': True, 'model__learning_rate': 'optimal', 'model__loss': 'huber', 'model__max_iter': 5000, 'model__penalty': 'l2', 'model__shuffle': True}",-33.777800093878504,-10.887001074733673,0.23210244888854015,,,,,,,,,,2024,0.2540780833477805,0.2682493054548123,-0.2060601519605436,0.17444834180879998,-0.2391713780131952,-0.20322305552690278,-0.39385060852543097,-0.40097818001656793,-0.28305545477635996,0.17702577511091533,-0.08525373230966925,0.25740770391524237
0,20,0.014681601524353027,0.005899908461557187,0.002471923828125,0.0012545224102629576,1e-10,True,True,optimal,huber,5000,l2,False,"{'model__alpha': 1e-10, 'model__average': True, 'model__fit_intercept': True, 'model__learning_rate': 'optimal', 'model__loss': 'huber', 'model__max_iter': 5000, 'model__penalty': 'l2', 'model__shuffle': False}",-33.77353062261505,-10.89535112360141,0.23222522948728375,,,,,,,,,,2025,0.2540879449525485,0.2681172867886128,-0.20599662735656765,0.17436312538432763,-0.23917826436801093,-0.20320520067505643,-0.39388184029555195,-0.40110244298305076,-0.28308679125640235,0.17696323798847102,-0.085291957182068,0.25739391644208826
