iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__learning_rate,param_model__loss,param_model__max_features,param_model__min_samples_leaf,param_model__min_samples_split,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
0,20,0.008983898162841796,0.00020417844172012468,0.002306032180786133,0.00017264639190552825,0.001,squared_error,log2,1,2,100,"{'model__learning_rate': 0.001, 'model__loss': 'squared_error', 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 100}",0.2114973146999658,-3.666942603635577,-0.8526821141493717,,,,,,,,,,720,0.17477789003281263,0.17741858820787793,0.16225475499558573,0.17329088760638023,0.17393426072039286,0.16464334824361782,0.17413036973603502,0.1710484064660518,0.17553972502042037,0.17892216877071077,0.17259603997998849,0.005038979007770016
0,20,0.02002429962158203,0.0001710009121308727,0.0022850990295410155,0.00016096800660597016,0.001,squared_error,log2,1,2,300,"{'model__learning_rate': 0.001, 'model__loss': 'squared_error', 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 300}",0.5310168693044084,-2.461907185140888,-0.4375338894440759,,,,,,,,,,964,0.43566451329653844,0.4426070719817624,0.4073434392289308,0.436112791466563,0.43721040890294305,0.4191214100901086,0.4351878260632829,0.42920380784417933,0.439596208505452,0.4462856989702173,0.43283331763499777,0.011030079042938396
0,20,0.03675413131713867,0.003363021212962567,0.0022135019302368165,9.18010266678469e-05,0.001,squared_error,log2,1,2,600,"{'model__learning_rate': 0.001, 'model__loss': 'squared_error', 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 600}",0.7599677775631121,-1.5307344659087985,-0.033858535843876325,,,,,,,,,,963,0.680412809440406,0.688695449652363,0.6452342014669834,0.6805986274059249,0.6829474023954909,0.657170185310596,0.6798608909737216,0.6717077183989855,0.6850631900539799,0.6934763540510525,0.6765166829149504,0.014033468198159463
0,20,0.07001523971557617,0.009046681484103815,0.0035856008529663087,0.0018324958308427906,0.001,squared_error,log2,1,2,1000,"{'model__learning_rate': 0.001, 'model__loss': 'squared_error', 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__n_estimators': 1000}",0.7628118318467357,-0.8995504335631381,0.3385410851665366,,,,,,,,,,962,0.8497203850634352,0.8561456970446936,0.8212916918890758,0.8495648459847377,0.8509697043681272,0.8295360477372337,0.849431154683484,0.8415755296171427,0.8541615518427378,0.8599679284674783,0.8462364536698146,0.011524965714329932
0,20,0.009101581573486329,0.0018941490004696492,0.001963019371032715,6.0291457915140935e-05,0.001,squared_error,log2,1,5,100,"{'model__learning_rate': 0.001, 'model__loss': 'squared_error', 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 100}",0.18018612713364957,-3.6735774692320824,-0.8786444552034707,,,,,,,,,,961,0.14467509656099076,0.16909999593906633,0.15582558348649134,0.16495124677773187,0.1623275697835076,0.15532030523875306,0.16163555116791195,0.15790835408214732,0.1655529136731988,0.16895398151392793,0.1606250598223727,0.007078643663941689
0,20,0.029701852798461915,0.008244575096511953,0.002394890785217285,0.0005066890181838343,0.001,squared_error,log2,1,5,300,"{'model__learning_rate': 0.001, 'model__loss': 'squared_error', 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 300}",0.5068475434010355,-2.529775841808283,-0.4267337470565864,,,,,,,,,,960,0.3643610076338315,0.42527569544330535,0.39143167043037885,0.4166798355864404,0.4070463526496819,0.38944118626269575,0.4158099214060822,0.4001315767693816,0.42121729482495207,0.42741130303943387,0.4058805844046184,0.01878159393914313
0,20,0.049160337448120116,0.0121706769792978,0.0024570226669311523,0.0006718515269994273,0.001,squared_error,log2,1,5,600,"{'model__learning_rate': 0.001, 'model__loss': 'squared_error', 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 600}",0.7277796251043777,-1.5480663679963942,0.02741671785689248,,,,,,,,,,959,0.5965118149668691,0.665734644725005,0.6287413616024202,0.6586769491720568,0.6471372412632682,0.6219353994629252,0.6592358852919638,0.6349791058005639,0.6633006902695375,0.6681705892438681,0.6444423681798478,0.02222776670611157
0,20,0.06955106258392334,0.01780374062132461,0.002263927459716797,0.0001487686541671795,0.001,squared_error,log2,1,5,1000,"{'model__learning_rate': 0.001, 'model__loss': 'squared_error', 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 1000}",0.7757818939338219,-0.856181252626891,0.29933352477643105,,,,,,,,,,958,0.7700068095345275,0.8350938799758514,0.8017679138492413,0.8311025764561057,0.8184321358982485,0.7959530373617522,0.8309986108661642,0.8089595132123402,0.8362304934085527,0.8392100808109957,0.816775505137378,0.02129525610161738
0,20,0.012218284606933593,0.00539976788177798,0.003454780578613281,0.00193238341668574,0.001,squared_error,log2,1,20,100,"{'model__learning_rate': 0.001, 'model__loss': 'squared_error', 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 20, 'model__n_estimators': 100}",-0.04271546720149266,-4.404696172063315,-1.1438591116105403,,,,,,,,,,957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,20,0.024144649505615234,0.006582379454900766,0.0048073530197143555,0.006946643292325416,0.001,squared_error,log2,1,20,300,"{'model__learning_rate': 0.001, 'model__loss': 'squared_error', 'model__max_features': 'log2', 'model__min_samples_leaf': 1, 'model__min_samples_split': 20, 'model__n_estimators': 300}",-0.04271546720149266,-4.404696172063315,-1.1438591116105403,,,,,,,,,,965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
