iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__leaf_size,param_model__metric,param_model__n_neighbors,param_model__p,param_model__weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
0,21,0.0038495302200317384,0.0011805245058361617,0.0021666526794433595,0.0004931039337555235,20,minkowski,4,1,uniform,"{'model__leaf_size': 20, 'model__metric': 'minkowski', 'model__n_neighbors': 4, 'model__p': 1, 'model__weights': 'uniform'}",-22.400919929414272,-2.4961278730982115,-7.171576262797242,0.3558003661217519,-198748.54061558383,-32.148868313532354,0.22651120887223153,-18.037585234790544,0.9541823452214662,-2273.0605914835005,-20110.231979076074,59549.92595982832,331,0.6511009327203925,0.813578955665568,0.6071378007514117,0.5530996481467465,0.47073512926179795,0.4889623490341042,0.615192249620309,0.24474603665029349,0.5682726455663274,0.403889887291502,0.5416715634708453,0.14539482547234842
0,21,0.0031704425811767576,0.0001382929617320222,0.0020377397537231444,0.0004648696490941931,20,minkowski,4,1,distance,"{'model__leaf_size': 20, 'model__metric': 'minkowski', 'model__n_neighbors': 4, 'model__p': 1, 'model__weights': 'distance'}",-19.974996682553805,-2.5471970099296897,-7.210626533180713,0.37544290491632326,-185041.11836804939,-9.250934241757314,0.15409236505176682,-25.894559965516205,0.965869882234897,-1948.4994618730454,-18705.30007392032,55448.291987386605,311,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,21,0.003973674774169922,0.0015610582295464512,0.0021734237670898438,0.0003187704727902162,20,minkowski,4,2,uniform,"{'model__leaf_size': 20, 'model__metric': 'minkowski', 'model__n_neighbors': 4, 'model__p': 2, 'model__weights': 'uniform'}",-28.333063143861537,-1.2753146459625193,-5.597239769183233,0.3558003661217519,-157413.59355892194,-32.148868313532354,-0.4424657984118874,-22.47843088737606,0.9383065130250753,-2416.819651872358,-15991.939448647347,47146.008905125236,261,0.688407922210248,0.779596400134835,0.6745379687620109,0.5226694380006245,0.3872815434923682,0.48149261157683576,0.6246620585006539,0.23920284635595446,0.5896391418963536,0.5164312989567608,0.5503921229886645,0.14972119384817026
0,21,0.00421898365020752,0.0014688659730739022,0.0023068904876708983,0.0002772262056994652,20,minkowski,4,2,distance,"{'model__leaf_size': 20, 'model__metric': 'minkowski', 'model__n_neighbors': 4, 'model__p': 2, 'model__weights': 'distance'}",-25.550948003277,-1.4334684279561563,-6.033750039806726,0.37812588001871783,-154232.0441079365,-10.410441340693513,-0.40709350606902284,-30.769297150215333,0.9509755231302476,-2000.2443665713763,-15630.556437157273,46204.310631735214,241,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,21,0.0032549381256103517,0.00017946252180266146,0.0020801544189453123,0.00017128790521320805,20,minkowski,6,1,uniform,"{'model__leaf_size': 20, 'model__metric': 'minkowski', 'model__n_neighbors': 6, 'model__p': 1, 'model__weights': 'uniform'}",-54.81563261091704,-1.3811304860421032,-3.462900894721127,-0.04555417408684859,-158108.5027227547,-112.23868373763023,-0.08139654054428003,-21.781866248421494,0.8904248727617644,-2754.845299107285,-16105.626476168161,47341.30527919675,281,0.5122736593612851,0.8165919684694666,0.6741757743151837,0.4790271785604675,0.3671720544520055,0.3844343121179091,0.4520349645486268,0.15578243033509875,0.3549706010140493,0.3155952650217554,0.45120582081958477,0.17724930512435286
0,21,0.0036935329437255858,0.0005098542131233699,0.0026235342025756835,0.0008431868366852252,20,minkowski,6,1,distance,"{'model__leaf_size': 20, 'model__metric': 'minkowski', 'model__n_neighbors': 6, 'model__p': 1, 'model__weights': 'distance'}",-39.29341106983535,-1.5375726573296693,-3.9616316047538653,0.03719774912787932,-157640.14982572466,-51.888533501590615,-0.09595821002338178,-26.866056892867977,0.9130679335707548,-2167.4947182188075,-15993.033744219714,47220.06836512727,271,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,21,0.003865361213684082,0.00053180382128286,0.0025384187698364257,0.0007386412092084065,20,minkowski,6,2,uniform,"{'model__leaf_size': 20, 'model__metric': 'minkowski', 'model__n_neighbors': 6, 'model__p': 2, 'model__weights': 'uniform'}",-38.99531855775556,-1.3503725595971048,-3.462900894721127,-0.04555417408684859,-158108.5027227547,-138.75275725428193,-0.007796397757993123,-15.628515058878676,0.9801852537170856,-3118.5506777469786,-16142.431643014506,47331.03002265863,291,0.5492417852231675,0.7597039429522102,0.6459663300791479,0.48608803856605054,0.36508401392509227,0.3562254805322367,0.44779755529516885,0.2673053269754233,0.43918263729909934,0.3125940466990742,0.4629189157546671,0.14566592610111584
0,21,0.00355837345123291,0.0005837418254574057,0.002087569236755371,0.00013166170134645505,20,minkowski,6,2,distance,"{'model__leaf_size': 20, 'model__metric': 'minkowski', 'model__n_neighbors': 6, 'model__p': 2, 'model__weights': 'distance'}",-33.61333989932938,-1.4304703962367644,-3.9036990204051563,0.026956820662602854,-156566.72053309454,-65.89062511583117,-0.04140037685341946,-21.855540370417604,0.9794679799892075,-2483.9018827939803,-15917.635106626698,46888.80744966434,251,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,21,0.0033367633819580077,0.0004397210960439311,0.002044010162353516,0.00030292087333276183,20,minkowski,8,1,uniform,"{'model__leaf_size': 20, 'model__metric': 'minkowski', 'model__n_neighbors': 8, 'model__p': 1, 'model__weights': 'uniform'}",-58.302603270960674,-1.8790321803470933,-3.0395055716281725,-0.10913458681147237,-197003.6631363756,-140.1319006499002,-0.1928352534147586,-19.88110010419519,0.8911540934961834,-1771.2857543934388,-19899.75938482928,59036.93754900159,321,0.4173088618559124,0.6868352313825394,0.6014246952240485,0.4111478520867101,0.27719150389052616,0.2724190181471273,0.3955567506490991,0.19400736450647038,0.2571238170113296,0.3725347094164416,0.38855498041702047,0.14728877493636494
0,21,0.00341494083404541,0.0006001932286468473,0.002087903022766113,0.00018314697154142297,20,minkowski,8,1,distance,"{'model__leaf_size': 20, 'model__metric': 'minkowski', 'model__n_neighbors': 8, 'model__p': 1, 'model__weights': 'distance'}",-43.062045149685034,-1.924496116203822,-3.5021679683222278,-0.02795583150504477,-177349.75733370316,-72.78644482375519,-0.19276952213978604,-23.27079981392389,0.9075912473870987,-1340.4646699061489,-17883.40810915875,53156.91688429113,301,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
