iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_fit_intercept,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
0,2222,0.00314176082611084,0.0005174639306953664,0.0007556200027465821,0.00011597729828697379,1e-10,True,"{'alpha': 1e-10, 'fit_intercept': True}",0.2606399314533845,0.32955586474929444,0.25486046949380925,0.3320460512152109,0.24065185877420847,0.23758000511123456,0.3221635279178593,0.3090589322298932,0.29513839030772193,0.156054827281905,0.2737749858534521,0.05229279962809176,19,0.34209262289290654,0.356451259797947,0.3481500371773498,0.3486523913859205,0.327207079183619,0.31871641465279277,0.3204232029087224,0.3820282830558418,0.3288316354091593,0.3289610704043331,0.3401513996868592,0.018517420195643043
0,2222,0.0023459911346435545,0.00012516543063008693,0.0007572174072265625,0.00013607406998525492,1e-10,False,"{'alpha': 1e-10, 'fit_intercept': False}",0.26063993145347375,0.32955586474801546,0.2548604694937566,0.33204605121514486,0.24065185877572692,0.2375800051104835,0.3221635279170496,0.30905893222984604,0.29513839030784306,0.15605482728265851,0.2737749858533998,0.05229279962766065,20,0.34209262289290654,0.356451259797947,0.3481500371773497,0.3486523913859205,0.32720707918361913,0.31871641465279277,0.3204232029087224,0.3820282830558418,0.3288316354091593,0.328961070404333,0.3401513996868592,0.018517420195643033
0,2222,0.0022850751876831053,0.0003342664539194347,0.0007071733474731445,0.000102915193407427,1e-08,True,"{'alpha': 1e-08, 'fit_intercept': True}",0.2606399314585218,0.3295558647611502,0.25486046950579677,0.33204605121809516,0.24065185877838058,0.23758000511927202,0.32216352792062064,0.30905893223538694,0.2951383903140118,0.1560548272920277,0.2737749858603264,0.052292799626898964,17,0.34209262289290654,0.356451259797947,0.3481500371773497,0.3486523913859205,0.32720707918361913,0.31871641465279277,0.3204232029087224,0.3820282830558418,0.32883163540915916,0.3289610704043331,0.3401513996868592,0.018517420195643033
0,2222,0.002179884910583496,0.00031798150465540265,0.0008316755294799805,0.00012822385477625833,1e-08,False,"{'alpha': 1e-08, 'fit_intercept': False}",0.26063993146742404,0.3295558646332334,0.254860469500538,0.33204605121146524,0.24065185893020546,0.23758000504414467,0.3221635278396747,0.3090589322306817,0.2951383903261139,0.15605482736740173,0.2737749858550883,0.052292799583783724,18,0.34209262289290654,0.356451259797947,0.3481500371773497,0.3486523913859205,0.32720707918361913,0.31871641465279277,0.3204232029087224,0.3820282830558419,0.32883163540915916,0.3289610704043331,0.3401513996868592,0.01851742019564306
0,2222,0.0022709131240844726,0.0002828831457655319,0.0008344173431396485,0.0001418261449771651,1e-05,True,"{'alpha': 1e-05, 'fit_intercept': True}",0.2606399366424623,0.3295558767245331,0.25486048160225094,0.3320460541284862,0.24065186298831598,0.23758001322961364,0.3221635307071544,0.30905893777913496,0.29513839666107233,0.15605483750664328,0.2737749927969667,0.052292798423291785,15,0.34209262289290576,0.356451259797946,0.3481500371773486,0.3486523913859195,0.32720707918361835,0.318716414652792,0.3204232029087215,0.3820282830558409,0.3288316354091583,0.328961070404332,0.34015139968685826,0.018517420195643005
0,2222,0.0021122455596923827,0.0002871377248714649,0.0008274793624877929,0.00012942053792804295,1e-05,False,"{'alpha': 1e-05, 'fit_intercept': False}",0.2606399455444208,0.32955574880768557,0.25486047634334985,0.3320460474983552,0.24065201481260656,0.23757993810247668,0.3221634497614617,0.3090589330738148,0.29513840876292674,0.15605491288055973,0.2737749875587658,0.05229275530812506,16,0.34209262289276754,0.35645125979781356,0.3481500371771874,0.34865239138579796,0.3272070791834115,0.31871641465264566,0.3204232029085712,0.3820282830557168,0.3288316354090358,0.3289610704040933,0.34015139968670405,0.018517420195658604
0,2222,0.002248191833496094,0.0003021648859798507,0.000858139991760254,0.00014627900051901026,0.0001,True,"{'alpha': 0.0001, 'fit_intercept': True}",0.2606399833444637,0.32955598450250834,0.254860590579016,0.33204608034809635,0.24065190091553845,0.23758008629559946,0.32216355581096223,0.3090589877226487,0.29513845384159143,0.15605492952997457,0.27377505528903995,0.05229278758000847,13,0.3420926228928235,0.3564512597978494,0.3481500371772469,0.34865239138582516,0.3272070791835364,0.31871641465271106,0.32042320290863646,0.38202828305575154,0.3288316354090677,0.3289610704042365,0.3401513996867685,0.018517420195640167
0,2222,0.002108597755432129,0.00020921369427166853,0.0008928537368774414,0.0002221168814193575,0.0001,False,"{'alpha': 0.0001, 'fit_intercept': False}",0.26064007234596187,0.3295547053452895,0.254860537974701,0.3320460140376865,0.24065341910765325,0.2375793350284341,0.3221627463581266,0.3090589406563241,0.2951385748455214,0.15605568322823749,0.27377500289279355,0.05229235644371084,14,0.3420926228790002,0.35645125978461445,0.34815003716110327,0.34865239137366333,0.3272070791628575,0.3187164146380751,0.3204232028936037,0.38202828304335057,0.32883163539681837,0.32896107038036193,0.3401513996713449,0.01851742019720301
0,2222,0.002382922172546387,0.00027056464867779236,0.0008105754852294922,0.00013933222559791487,0.001,True,"{'alpha': 0.001, 'fit_intercept': True}",0.2606404503480191,0.3295570622574565,0.25486168031707046,0.33204634253171195,0.24065228017556595,0.23758081694019695,0.32216380683929313,0.30905948714171805,0.2951390256262386,0.1560558497402137,0.27377568019174847,0.052292679149637186,11,0.3420926228845945,0.35645125978819203,0.3481500371670696,0.34865239137638815,0.32720707917535574,0.31871641464461054,0.32042320290013515,0.382028283046814,0.3288316354000035,0.3289610703946798,0.3401513996777843,0.018517420195356644
0,2222,0.002189826965332031,0.00035862662090363674,0.0008824825286865235,0.00016870594347848997,0.001,False,"{'alpha': 0.001, 'fit_intercept': False}",0.26064133855537674,0.3295442718110535,0.25486115274406473,0.33204567851799227,0.24066745701938952,0.23757330468893667,0.3221557127198229,0.3090590151670085,0.29514023420490487,0.15606338263439334,0.2737751548062943,0.05228836932306719,12,0.342092621502858,0.35645125846527514,0.3481500355534092,0.3486523901606986,0.327207077108321,0.3187164131816508,0.3204232013974859,0.38202828180725945,0.32883163417557637,0.3289610680082644,0.34015139813607986,0.018517420351579744
