iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_epsilon,param_fit_intercept,param_intercept_scaling,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
0,82,0.0014186620712280274,7.0315298057729e-05,0.0006403684616088867,1.851990649625534e-05,0.1,0,True,0.5,"{'C': 0.1, 'epsilon': 0, 'fit_intercept': True, 'intercept_scaling': 0.5}",-1.738553276102972,-1.3079701328052127,-1.0947716268698624,-1.3710256401799894,-1.297214905812698,-2.2289696610518126,-2.7647469203049386,-2.6813086938086745,-0.6494732675281907,-1.2177635502641913,-1.635179767472854,0.6680223469189348,347,-1.1135069840540348,-0.8375708937441289,-0.828611017061424,-0.7138656528966625,-0.8524569163519413,-0.9932751292497963,-1.2746266872280354,-0.9746391025029757,-1.042854294046295,-0.8767266118367103,-0.9508133288972005,0.15531606759685074
0,82,0.0013117551803588866,5.942579616633621e-05,0.0006392240524291992,1.4036538237017633e-05,0.1,0,True,1,"{'C': 0.1, 'epsilon': 0, 'fit_intercept': True, 'intercept_scaling': 1}",-1.738551234857213,-1.3079680149736705,-1.0947702430669102,-1.3710230791664038,-1.2972135226854924,-2.228967643559131,-2.7647426142419103,-2.6813057857581732,-0.6494722528589514,-1.2177590986177989,-1.6351773489785653,0.6680217672891305,342,-1.1135055486074372,-0.8375695999547161,-0.828609571153432,-0.7138643825082163,-0.8524555231968067,-0.9932734727255672,-1.274624890415705,-0.9746376056958861,-1.0428525838528802,-0.8767250971524085,-0.9508118275263057,0.15531593540524752
0,82,0.001031208038330078,0.0002964329787713455,0.0005883216857910156,3.1716159644278895e-05,0.1,0,True,2,"{'C': 0.1, 'epsilon': 0, 'fit_intercept': True, 'intercept_scaling': 2}",-1.7385430698861581,-1.3079595436646483,-1.094764707863845,-1.3710128351359794,-1.2972079901840377,-2.2289595735975354,-2.764725390023329,-2.6812941535719346,-0.6494681941899174,-1.2177412921135988,-1.6351676750230983,0.6680194487835583,337,-1.1134998068303,-0.8375644248070575,-0.8286037875340795,-0.7138593009657348,-0.852449950587653,-0.9932668466424632,-1.2746177031790453,-0.9746316184790218,-1.0428457430932427,-0.8767190384282846,-0.9508058220546882,0.1553154066396562
0,82,0.0010768413543701173,0.00033036827591782986,0.0006063222885131836,3.330622216608131e-05,0.1,0,True,3,"{'C': 0.1, 'epsilon': 0, 'fit_intercept': True, 'intercept_scaling': 3}",-1.7385294616436737,-1.3079454248772406,-1.094755482556499,-1.3709957618369861,-1.297198769374499,-2.228946123694005,-2.7646966831115907,-2.6812747666509424,-0.6494614297697103,-1.2177116148959022,-1.6351515518411048,0.6680155846561177,302,-1.1134902372346356,-0.8375557995964882,-0.8285941482133461,-0.713850831768458,-0.8524406629462069,-0.9932558032197363,-1.2746057244963098,-0.9746216398251148,-1.0428343418770396,-0.876708940601266,-0.9507958129778601,0.15531452536659318
0,82,0.0010649681091308594,0.0003159991033071782,0.0005997419357299805,2.868290452564366e-05,0.1,0,True,5,"{'C': 0.1, 'epsilon': 0, 'fit_intercept': True, 'intercept_scaling': 5}",-1.7384859156256227,-1.3079002452696207,-1.0947259618341967,-1.3709411279945969,-1.2971692630042013,-2.2289030842754034,-2.7646048219955537,-2.6812127289747583,-0.649439783861772,-1.2176166502294374,-1.6350999583065164,0.6680032198558008,252,-1.113459614804846,-0.8375281992211103,-0.8285633027637804,-0.7138237306747808,-0.8524109428335833,-0.9932204646795684,-1.2745673930898072,-0.9745897084758879,-1.0427978584040072,-0.8766766279455926,-0.9507637842892963,0.1553117053173387
0,82,0.0010580778121948241,0.0003171736303050071,0.0006118535995483399,2.740508266345366e-05,0.1,0,False,0.5,"{'C': 0.1, 'epsilon': 0, 'fit_intercept': False, 'intercept_scaling': 0.5}",-1.7385539565184915,-1.3079708387494406,-1.0947720881377077,-1.371026493851716,-1.2972153668552644,-2.2289703335495767,-2.7647483556600263,-2.681309663159193,-0.649473605751447,-1.2177650341481296,-1.6351805736380995,0.6680225401291728,352,-1.1135074625364396,-0.837571325007489,-0.8286114990310354,-0.7138660763597289,-0.8524573807372391,-0.9932756814248462,-1.2746272861657606,-0.9746396014389276,-1.0428548641110784,-0.8767271167317687,-0.9508138293544313,0.15531611166073675
0,82,0.0009403228759765625,0.0003068515284802829,0.000599360466003418,2.441141972915734e-05,0.1,0,False,1,"{'C': 0.1, 'epsilon': 0, 'fit_intercept': False, 'intercept_scaling': 1}",-1.7385539565184915,-1.3079708387494406,-1.0947720881377077,-1.371026493851716,-1.2972153668552644,-2.2289703335495767,-2.7647483556600263,-2.681309663159193,-0.649473605751447,-1.2177650341481296,-1.6351805736380995,0.6680225401291728,352,-1.1135074625364396,-0.837571325007489,-0.8286114990310354,-0.7138660763597289,-0.8524573807372391,-0.9932756814248462,-1.2746272861657606,-0.9746396014389276,-1.0428548641110784,-0.8767271167317687,-0.9508138293544313,0.15531611166073675
0,82,0.0008156299591064453,0.0002055974799810874,0.0005686283111572266,1.9394439184615234e-05,0.1,0,False,2,"{'C': 0.1, 'epsilon': 0, 'fit_intercept': False, 'intercept_scaling': 2}",-1.7385539565184915,-1.3079708387494406,-1.0947720881377077,-1.371026493851716,-1.2972153668552644,-2.2289703335495767,-2.7647483556600263,-2.681309663159193,-0.649473605751447,-1.2177650341481296,-1.6351805736380995,0.6680225401291728,352,-1.1135074625364396,-0.837571325007489,-0.8286114990310354,-0.7138660763597289,-0.8524573807372391,-0.9932756814248462,-1.2746272861657606,-0.9746396014389276,-1.0428548641110784,-0.8767271167317687,-0.9508138293544313,0.15531611166073675
0,82,0.0008904218673706054,0.00026299410956110185,0.0005793094635009766,3.227060422676949e-05,0.1,0,False,3,"{'C': 0.1, 'epsilon': 0, 'fit_intercept': False, 'intercept_scaling': 3}",-1.7385539565184915,-1.3079708387494406,-1.0947720881377077,-1.371026493851716,-1.2972153668552644,-2.2289703335495767,-2.7647483556600263,-2.681309663159193,-0.649473605751447,-1.2177650341481296,-1.6351805736380995,0.6680225401291728,352,-1.1135074625364396,-0.837571325007489,-0.8286114990310354,-0.7138660763597289,-0.8524573807372391,-0.9932756814248462,-1.2746272861657606,-0.9746396014389276,-1.0428548641110784,-0.8767271167317687,-0.9508138293544313,0.15531611166073675
0,82,0.0008549690246582031,0.00025708462126918495,0.0005789756774902344,2.3699142561131914e-05,0.1,0,False,5,"{'C': 0.1, 'epsilon': 0, 'fit_intercept': False, 'intercept_scaling': 5}",-1.7385539565184915,-1.3079708387494406,-1.0947720881377077,-1.371026493851716,-1.2972153668552644,-2.2289703335495767,-2.7647483556600263,-2.681309663159193,-0.649473605751447,-1.2177650341481296,-1.6351805736380995,0.6680225401291728,352,-1.1135074625364396,-0.837571325007489,-0.8286114990310354,-0.7138660763597289,-0.8524573807372391,-0.9932756814248462,-1.2746272861657606,-0.9746396014389276,-1.0428548641110784,-0.8767271167317687,-0.9508138293544313,0.15531611166073675
