iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
0,27,0.0063129901885986325,0.0001994758133524219,0.0010692596435546875,2.4870337839587984e-05,True,10,auto,1,2,10,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 10}",-0.6714691989878061,-0.7927209491018046,-1.0160162874825662,-2.8369739969412175,0.01414347478811262,-140.06165916872035,-15.040345976176372,-0.8385180679757831,0.02980191474664695,-3.3623320295438486,-16.457609028539498,41.42115509275245,1153,0.9196091877281802,0.7100817992548245,0.8083914529775827,0.8110883245277759,0.8698383837909898,0.8638940421226218,0.8335839401996478,0.7866180425930152,0.8056493158639193,0.7966611100239569,0.8205415599082514,0.053549342154870075
0,27,0.022885608673095702,0.00035692296175583277,0.002122807502746582,0.00015118189779821057,True,10,auto,1,2,50,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}",-0.9460407021384596,-0.6956213513795446,-0.2010360491397578,-2.175852842411895,0.4476411057570109,-44.16247292671582,-9.535640259743944,-0.766736360756276,-0.24989037762588207,-2.0270960344575006,-6.031274579861207,12.994626518253819,996,0.77827017495306,0.8112889205913381,0.8387899210042693,0.8781235914323122,0.8951990619666079,0.8457322030782681,0.8655440294673464,0.7461544555225927,0.8528926013755792,0.8753625108853422,0.8387357470276717,0.044754654663385386
0,27,0.04749395847320557,0.00407475212241705,0.004091119766235352,0.002212847347986283,True,10,auto,1,2,100,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",-0.8742087621215344,-0.6549984795419097,-0.22432662914301527,-0.3394037238319507,0.3103598398885252,-45.0328310180973,-9.176106016319409,-0.7565785513800507,-0.30937207838798475,-2.0266867846995673,-5.908415220363419,13.3014802672412,985,0.8916520615376522,0.8427044465745938,0.8606476211269789,0.8759768485949678,0.8994133619240351,0.8564693333236937,0.8780233600548207,0.8372354264483955,0.8628984833809105,0.8732866919543815,0.8678307634920429,0.01880782580291572
0,27,0.09549272060394287,0.0060473099996428345,0.0080704927444458,0.003329642736694142,True,10,auto,1,2,200,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",-0.9722861904942048,-0.6264070343546513,-0.293672000513006,-0.4688587440562739,0.2748338440115875,-55.64611016324023,-9.871183444934179,-0.7540046107445486,-0.37910702902683546,-2.2416802649406744,-7.0978475638293,16.424348223380534,1051,0.8842936761351172,0.8403982288269485,0.8716201460490693,0.8784259915983988,0.8732603804961887,0.8610398709109295,0.897969876536627,0.8103237306626798,0.8657442544033713,0.8823367993088209,0.8665412954928151,0.023747342947223245
0,27,0.1985309362411499,0.014558534493273682,0.010784721374511719,0.002491539318199837,True,10,auto,1,2,400,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 400}",-0.8545660053289843,-0.6534960616442251,-0.24923437107117263,-0.42088111619213553,0.4203919427320806,-52.07977129305957,-9.996037936899889,-0.7509525468890432,-0.3822507756115274,-2.1192472137337885,-6.7086045377698245,15.391374812857949,1037,0.8858419551059716,0.8425848410694886,0.86914332194991,0.8735482036519138,0.9055752308692486,0.8641707112805398,0.8648522847603315,0.8461882002365064,0.8596101456187507,0.8540614359957928,0.8665576330538454,0.017755136046796065
0,27,0.3008191347122192,0.014313253662087976,0.017544484138488768,0.004356191949538934,True,10,auto,1,2,600,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 600}",-0.8786878063989743,-0.6590886422239852,-0.148778991899436,-0.5156491143209219,0.5607535431751602,-34.70165747185175,-9.408259030758853,-0.7832371232361384,-0.2916382988531139,-2.240736294453458,-4.906697923082147,10.29316229573198,880,0.8854956338626933,0.83914269529964,0.8689601819178723,0.8829418167859795,0.9071649179537103,0.8609977178331794,0.8814103934861219,0.823571092079568,0.8599605041069949,0.8645626656445455,0.8674207618970305,0.02274379901690354
0,27,0.0051567316055297855,0.00046341655957472545,0.0009525775909423828,3.7210136661242135e-05,True,10,auto,1,5,10,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 10}",-2.1758851944482744,-0.3433568068029056,-0.3265592420258705,-0.568535624235156,0.3300817815654016,-3.3751290331678625,-7.008310886850216,-0.7307882660828531,-0.21391738463185805,-3.1083530813011704,-1.7520753737980765,2.1317388510603554,451,0.8648731804908161,0.7317016809653043,0.8240003188834203,0.8500112689885153,0.7653448711043636,0.7349812114869616,0.7424167733148912,0.8405067320683794,0.6876220462535583,0.8220171804211255,0.7863475263977336,0.05795259854953791
0,27,0.022311902046203612,0.0025124238151519613,0.0024446964263916014,0.001610806757535197,True,10,auto,1,5,50,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50}",-1.0765828777783222,-0.7387904371296883,-0.27574771481197424,-0.35448306939942786,0.646153188723738,-36.111017317630775,-7.876017060104614,-0.8215232794242153,-0.28793875974858363,-1.7954517441298692,-4.869139907143373,10.654846264870084,878,0.8236715690152336,0.799822458177389,0.8052321989024435,0.7967903004744461,0.8585085566571803,0.8428891227135878,0.8193572167149245,0.8325465719441433,0.7708506608440049,0.7763715776841048,0.8126040233127456,0.026672334521633968
0,27,0.04681649208068848,0.0076425497447794805,0.0033428192138671873,0.0006458737551799307,True,10,auto,1,5,100,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",-0.6355258808945985,-0.7422489757414066,0.058643107508846715,-0.47268043893164036,0.34980581754463813,-36.467095051139445,-8.549454970208519,-0.7964209610100932,-0.1944936599847158,-1.6523061092225992,-4.910177712207953,10.800694590256594,881,0.8269516796395444,0.7525722250987528,0.8168254519204325,0.8307602823811002,0.8484926294720958,0.8170571542039907,0.8165718156359009,0.7972538911965408,0.7711158960843771,0.809266557359442,0.8086867582992177,0.02700979142546141
0,27,0.09166941642761231,0.010953705005141375,0.00540473461151123,0.00027690690551507877,True,10,auto,1,5,200,"{'bootstrap': True, 'max_depth': 10, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",-1.0547703898559062,-0.6010033241387711,-0.15585581176083751,-0.6286985015761073,0.44823148704158977,-42.12977364067529,-9.337334297007606,-0.765493384929675,-0.26582651812203695,-1.4335339770727487,-5.59240583580974,12.466593287121452,955,0.8430254414912015,0.7620489291059012,0.8081136125621563,0.8268220805532538,0.839425024681664,0.8517221648039884,0.821621097468221,0.8320426792439601,0.7554964136851244,0.7962753088577273,0.8136592752453197,0.03151052471837776
