iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_base_estimator,param_learning_rate,param_loss,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
0,82,0.008840155601501466,0.0032262012014523003,0.0039281129837036135,0.008755486675543185,DecisionTreeRegressor(max_depth=3),0.01,linear,10,"{'base_estimator': DecisionTreeRegressor(max_depth=3), 'learning_rate': 0.01, 'loss': 'linear', 'n_estimators': 10}",0.6418523804999399,-0.12421508745286047,-0.9552631601529704,-0.0011819329889184438,0.12718636528000105,0.6477753908598501,0.07092154180278898,0.6260934607384616,-0.5416593893348389,-0.12427181830876322,0.03672377509426901,0.4967994772452888,346,0.7129715335448117,0.8681146222507268,0.5618104320808954,0.8399984365843796,0.7310012500985964,0.6651550208916034,0.5950644920839243,0.7006809916737995,0.6738262078310734,0.688260855099111,0.7036883842138921,0.09000039644977477
0,82,0.029694366455078124,0.004744295817508715,0.0017557859420776368,3.6658521552380196e-05,DecisionTreeRegressor(max_depth=3),0.01,linear,50,"{'base_estimator': DecisionTreeRegressor(max_depth=3), 'learning_rate': 0.01, 'loss': 'linear', 'n_estimators': 50}",0.34256175312896564,-0.0584695368686563,-0.7854591952185306,0.213229488522921,-0.12638167409829282,0.5996240268065667,-0.2047383080312999,-2.7445396041675583,-0.39638007762412086,-0.07180265203821778,-0.32323557795882235,0.8860348365872612,606,0.8546263902174904,0.8651618507456215,0.6938696964049715,0.8482876455361463,0.7921634002946953,0.8356194914284636,0.8346080989155493,0.8826281001742212,0.7882966212288854,0.7388378660675803,0.8134099161013625,0.05679810601619597
0,82,0.070111083984375,0.017142088576723197,0.004131197929382324,0.0023157171521438445,DecisionTreeRegressor(max_depth=3),0.01,linear,100,"{'base_estimator': DecisionTreeRegressor(max_depth=3), 'learning_rate': 0.01, 'loss': 'linear', 'n_estimators': 100}",0.1732135530912987,-0.04008670380007451,-0.4785881050130323,0.09825135601587287,-0.07214131095591148,0.6080270025956015,-0.30613878884749535,0.6157151777985184,-0.43547339574535116,0.15956175696907027,0.0322340542108497,0.36369545158492916,356,0.8679709617872235,0.8752839760772838,0.7015277047410238,0.8590657093823297,0.7977938052584882,0.8486180091926466,0.8469162891564747,0.8807420136050775,0.8380027542962456,0.7553287935491899,0.8271250017045982,0.05535732793960648
0,82,0.12370867729187011,0.011877338647807564,0.007906889915466309,0.007921023298427608,DecisionTreeRegressor(max_depth=3),0.01,linear,200,"{'base_estimator': DecisionTreeRegressor(max_depth=3), 'learning_rate': 0.01, 'loss': 'linear', 'n_estimators': 200}",0.21433289344216255,-0.01241451109666114,-0.4624509279572979,0.06745242599750223,0.01463942856184286,0.5912594632048123,-0.27667544438691416,-2.7450945699805653,-0.3692863271748801,0.01540806388272864,-0.29628295055072706,0.8651689370984371,593,0.8834631621652158,0.8695948477965021,0.7278907713934444,0.8741164104946761,0.8274608152478475,0.8502225822746001,0.8779411656818468,0.8891488466027856,0.848295331909699,0.7908467838921636,0.8438980717458782,0.04790311592732028
0,82,0.22242562770843505,0.027991319242268484,0.010571837425231934,0.003404057108797729,DecisionTreeRegressor(max_depth=3),0.01,linear,400,"{'base_estimator': DecisionTreeRegressor(max_depth=3), 'learning_rate': 0.01, 'loss': 'linear', 'n_estimators': 400}",0.22876952564802422,-0.029207047957748422,-0.47565238644056373,0.17935441908903915,0.09209498798100024,0.5960303779260661,-0.27879283696581547,0.6186505957823487,-0.31441521735376843,0.02323850741039679,0.06400709251189791,0.34557449702317805,302,0.8902167805901063,0.8788653300060881,0.7579871600632998,0.8880980684331456,0.8394037165152664,0.8489831010447916,0.880814753588098,0.902768655968694,0.8624762731552227,0.8154450427174571,0.8565058882082169,0.04140320555032188
0,82,0.3519279003143311,0.026316920008998643,0.015562987327575684,0.0050955648637368645,DecisionTreeRegressor(max_depth=3),0.01,linear,600,"{'base_estimator': DecisionTreeRegressor(max_depth=3), 'learning_rate': 0.01, 'loss': 'linear', 'n_estimators': 600}",0.19305670563545008,-0.01737229429479603,-0.44326934188641687,0.14837706735330003,0.022765068772526487,0.5780056095738698,-0.21980947091931413,0.6186544727731071,-0.2815417856907636,0.06652797297940527,0.06653940042963682,0.3257531696237316,295,0.8973487957514482,0.8853780343212703,0.7886358097437617,0.8941074247720341,0.8391640867728154,0.8537135200532869,0.8891778993153785,0.9069496109204342,0.8702315501954825,0.8295236417325828,0.8654230373578494,0.035445467722366945
0,82,0.007810568809509278,0.002618458855837095,0.0010905027389526366,0.0004393162413016884,DecisionTreeRegressor(max_depth=3),0.01,square,10,"{'base_estimator': DecisionTreeRegressor(max_depth=3), 'learning_rate': 0.01, 'loss': 'square', 'n_estimators': 10}",0.1160098486600154,-0.0913483454608901,-0.5510503240217883,0.14360656130038363,-0.22645121192261652,0.5367484968169108,-0.44317121357327016,0.2673343787944821,-0.5716865880158706,0.1787346800065971,-0.06412737174160467,0.3565077904883568,548,0.8510374938022719,0.8192294466543123,0.6848065840323818,0.7705114085093926,0.6533952512845722,0.7157973967018522,0.742795100581905,0.8664052210666183,0.8093220840406717,0.7318337693761614,0.764513375605014,0.06746800226173288
0,82,0.03243069648742676,0.010832232981379466,0.0018178939819335938,4.829654284245126e-05,DecisionTreeRegressor(max_depth=3),0.01,square,50,"{'base_estimator': DecisionTreeRegressor(max_depth=3), 'learning_rate': 0.01, 'loss': 'square', 'n_estimators': 50}",0.22379702407350166,-0.15042327746948647,-0.5338476768280562,0.10692490568010204,0.08996439944173207,0.6241349322993432,-0.24057151900025997,-2.7455129194743737,-0.31887778468465333,0.13421877477705424,-0.2810193141185096,0.8770673619242657,584,0.8764667616162967,0.8361228301833089,0.7020292349243173,0.8475281624907981,0.8132087714657973,0.8331678380120908,0.8395215978062299,0.8800290040018941,0.8258047952560553,0.7234833566202766,0.8177362352377067,0.05623641222265218
0,82,0.057813167572021484,0.0080654795097967,0.0033388614654541017,0.0012507549542449296,DecisionTreeRegressor(max_depth=3),0.01,square,100,"{'base_estimator': DecisionTreeRegressor(max_depth=3), 'learning_rate': 0.01, 'loss': 'square', 'n_estimators': 100}",0.2555265507670389,-0.025829899095837217,-0.4894385656577489,0.09772001166797561,-0.02754590359138742,0.5959764564476473,-0.3380509572074173,-2.7500314866333397,-0.3266089731029498,-0.03927085965981769,-0.30475536260658365,0.8676068213200594,596,0.8755025429456944,0.8684455954510739,0.7279500172131471,0.8782031249749138,0.8162539008167203,0.8457284821323166,0.8671648823097451,0.8778119401278901,0.8352352658290938,0.7506052726949306,0.8342901024495525,0.05151380096533441
0,82,0.10354256629943848,0.007886514378872111,0.005557537078857422,0.0024802146359589163,DecisionTreeRegressor(max_depth=3),0.01,square,200,"{'base_estimator': DecisionTreeRegressor(max_depth=3), 'learning_rate': 0.01, 'loss': 'square', 'n_estimators': 200}",0.1348821373459992,0.017956023556335854,-0.6299947289577339,0.16799633645049972,-0.0018197000021196175,0.55723581412896,-0.22569082943484875,0.2700625002902459,-0.3055474554606621,-0.05710761489285532,-0.007202751697617904,0.3121087369234368,443,0.8750743958198139,0.8720395621725486,0.7485700725215501,0.8803206350862308,0.8125784396088804,0.8402688326929002,0.8784201531315171,0.8734433328262242,0.8639845806159339,0.800636802540989,0.8445336807016588,0.04184219135723414
