iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_leaf_size,param_metric,param_n_neighbors,param_p,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
0,82,0.0015885353088378907,0.00031613659528497947,0.0007578849792480469,2.4479168270390874e-05,20,minkowski,4,1,uniform,"{'leaf_size': 20, 'metric': 'minkowski', 'n_neighbors': 4, 'p': 1, 'weights': 'uniform'}",-1.8833343282607289,-0.1661819665258948,0.2898648337525709,-0.12711030969107173,-0.05217322547024006,-0.543981510471343,-0.5266440678055457,-0.7116970841170605,0.6315312414572676,-0.19405067686353838,-0.32837770939955846,0.641515090032087,669,0.36398903177046393,0.5577679026722052,0.42501852241579696,0.3726911578549357,0.42235739847817255,0.31294680004665587,0.5492139442415076,0.49419314800831793,0.4643874931359585,0.4600842662967224,0.4422649664920737,0.07527752509828524
0,82,0.0013594388961791991,5.745902101016045e-05,0.0007534027099609375,1.43293334670183e-05,20,minkowski,4,1,distance,"{'leaf_size': 20, 'metric': 'minkowski', 'n_neighbors': 4, 'p': 1, 'weights': 'distance'}",-1.7500968644429404,-0.16616897390094776,0.2762182336968503,-0.09171362871651279,-0.0916954471397573,-0.5416128903628368,-0.5138419080143695,-0.7124513683779212,0.6151707534037775,-0.1926370881363919,-0.31688291819910497,0.6049734181774653,659,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,82,0.0010024785995483398,0.0003217758311047554,0.000705552101135254,4.188859738059252e-05,20,minkowski,4,2,uniform,"{'leaf_size': 20, 'metric': 'minkowski', 'n_neighbors': 4, 'p': 2, 'weights': 'uniform'}",-1.5664357789929606,0.061904423333403846,0.535087205904283,-0.04492194597280541,0.012549454694927409,-0.5351777487138942,-0.6027499766945268,-0.5840603242302316,0.5180977186902201,-0.43490092295822724,-0.26406078949398115,0.5913695349091659,619,0.3968847959123917,0.5878172783843836,0.47355615752996805,0.33600640486452416,0.4525897376978305,0.24129953562479645,0.4855151319974754,0.4766301503168938,0.41126060820466304,0.4664261864821072,0.4327985987015034,0.08927990675801606
0,82,0.0010051488876342773,0.00030470120980609854,0.000736856460571289,4.5637850003033586e-05,20,minkowski,4,2,distance,"{'leaf_size': 20, 'metric': 'minkowski', 'n_neighbors': 4, 'p': 2, 'weights': 'distance'}",-1.7149978148742369,0.06187816128659507,0.5250252842061358,-0.0003879038308975957,0.010234440398475875,-0.540196608340743,-0.6403443894338012,-0.586606017979286,0.5059260939698711,-0.44095591057819417,-0.2820424665176081,0.6262337093030684,649,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,82,0.001002669334411621,0.0003176716606049526,0.0006977558135986328,3.6138971994218476e-05,20,minkowski,6,1,uniform,"{'leaf_size': 20, 'metric': 'minkowski', 'n_neighbors': 6, 'p': 1, 'weights': 'uniform'}",-1.5738444769576954,-0.06698643124790027,0.5704851960654893,-0.05044355965848957,0.44949361734997506,-0.3251779343953851,-0.400087936804447,-0.4248617704261288,0.617294058934545,-0.22334981681492305,-0.14274790539549598,0.6070421784673352,519,0.24259649614677148,0.4695615112309226,0.4336487160817011,0.3564681376704597,0.37187015759785547,0.2595534647579084,0.4133943962665445,0.370758636360381,0.4016167457032489,0.35283587544356054,0.3672304137259354,0.0675881063219454
0,82,0.0010029792785644532,0.0003062268277568648,0.0007079839706420898,3.11413820179459e-05,20,minkowski,6,1,distance,"{'leaf_size': 20, 'metric': 'minkowski', 'n_neighbors': 6, 'p': 1, 'weights': 'distance'}",-1.5201145848907265,-0.07059120038061173,0.5545324362511228,-0.018153824453633893,0.39706674192378244,-0.3368572659213698,-0.41069237477853116,-0.43247122938000815,0.6039813461102387,-0.2205188133148357,-0.1453818768834573,0.5875767840263607,529,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,82,0.0008870124816894531,0.00029286566549932883,0.0007020950317382813,4.245615710008399e-05,20,minkowski,6,2,uniform,"{'leaf_size': 20, 'metric': 'minkowski', 'n_neighbors': 6, 'p': 2, 'weights': 'uniform'}",-1.1364965010845642,0.2465772450664273,0.47958059130853026,0.05188928534250026,0.5036189048494497,-0.39343355460160456,-0.9323489794091182,-0.7792879906275727,0.3814266809202813,-0.360269962289127,-0.19387442805247979,0.5804747067120071,579,0.31288668728136604,0.5108083272774542,0.35935487166379,0.332024736032268,0.3298831574567783,0.2326351459942435,0.3895336081898828,0.30255316743017924,0.3077467740261519,0.3602045059390975,0.34376309812912115,0.06865939254434827
0,82,0.0008078336715698243,0.0002703914986247503,0.000698089599609375,3.9113002081161276e-05,20,minkowski,6,2,distance,"{'leaf_size': 20, 'metric': 'minkowski', 'n_neighbors': 6, 'p': 2, 'weights': 'distance'}",-1.2691438432151823,0.23930307258337624,0.4850031356736615,0.0842083685998889,0.47044600886243293,-0.4007854500767476,-0.9318158369521503,-0.7593245554223258,0.38687166769971915,-0.3696756352368904,-0.2064913067484217,0.5997547223585823,589,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0,82,0.000885462760925293,0.00032241859261260893,0.0006777048110961914,3.941488906031357e-05,20,minkowski,8,1,uniform,"{'leaf_size': 20, 'metric': 'minkowski', 'n_neighbors': 8, 'p': 1, 'weights': 'uniform'}",-0.6415430875047488,0.16739807955988628,0.4491470979306451,-0.19424980102330047,0.5159926896424352,-0.3517884883423661,-0.44082905027809094,-0.4012707783186078,0.5403303380563128,-0.16065623006109675,-0.051746923033893145,0.41417480541257684,259,0.21865950568372683,0.354907697805394,0.3930079254769594,0.29684670047042483,0.31982865667428806,0.18247837222744745,0.38208103240527613,0.2710160299230572,0.34886312993181234,0.3261412960527861,0.3093830346651172,0.06501075545330477
0,82,0.0008041620254516602,0.0002617400913614379,0.0006847143173217774,3.703008966237048e-05,20,minkowski,8,1,distance,"{'leaf_size': 20, 'metric': 'minkowski', 'n_neighbors': 8, 'p': 1, 'weights': 'distance'}",-0.7195872628744004,0.15116304757753785,0.45583308727567873,-0.14494043036869564,0.4758940132572327,-0.35388886557335786,-0.44524791754155757,-0.39489652626500016,0.5397053075195586,-0.15830083893602098,-0.05942663859290248,0.41909125068951103,279,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
