iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_average,param_fit_intercept,param_learning_rate,param_loss,param_max_iter,param_penalty,param_shuffle,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
0,27,0.0018719196319580077,0.0001870435373269897,0.0007582664489746094,2.8641842225181038e-05,1e-10,True,True,optimal,squared_error,1000,l1,True,"{'alpha': 1e-10, 'average': True, 'fit_intercept': True, 'learning_rate': 'optimal', 'loss': 'squared_error', 'max_iter': 1000, 'penalty': 'l1', 'shuffle': True}",-2.4245360635483244e+18,-4.136551322031736e+20,-9.081782437666673e+19,-3.581007057533163e+17,-1.9970554878299656e+16,-1.1964704926572746e+17,-4.2240507019333984e+19,-3.980511085263405e+16,-951119452469062.0,-2.5988886601571436e+18,-5.522753628630822e+19,1.2274146632101531e+20,2961,-7.86501055805901e+16,-3.978755075113756e+16,-1.0386378378659076e+16,-7.801663940281685e+16,-6.80594652859594e+16,-2.1697419260582452e+16,-4.007831021548345e+16,-7.1599523294542104e+16,-4.80323092670411e+16,-3.992381979176267e+16,-4.962315212285748e+16,2.2528725085250244e+16
0,27,0.001418328285217285,7.903936933093527e-05,0.0006412267684936523,3.50654079621082e-05,1e-10,True,True,optimal,squared_error,1000,l1,False,"{'alpha': 1e-10, 'average': True, 'fit_intercept': True, 'learning_rate': 'optimal', 'loss': 'squared_error', 'max_iter': 1000, 'penalty': 'l1', 'shuffle': False}",-3.1627254240601866e+19,-1.211201149760324e+21,-3.962516216406665e+19,-8.548787752180507e+16,-8.442354104577301e+16,-4.755015718643594e+16,-2.4925938779263717e+19,-5.626634740735231e+16,-1.267510873070738e+17,-2.282288289069478e+19,-1.3306028668454196e+20,3.596763107681784e+20,2996,-5.849720841155966e+16,-5.5969329190246296e+16,-1.1970956020737404e+16,-3.0974377385375864e+16,-4.4893162099800456e+16,-2.3706776636287228e+16,-2.345779523107361e+16,-1.8645057733784036e+16,-3.641668646990627e+16,-8.527112727940992e+16,-3.898024764581807e+16,2.1296154058586104e+16
0,27,0.0009981870651245117,0.0002954454720846633,0.000576639175415039,3.3384424791462935e-05,1e-10,True,True,optimal,squared_error,1000,l2,True,"{'alpha': 1e-10, 'average': True, 'fit_intercept': True, 'learning_rate': 'optimal', 'loss': 'squared_error', 'max_iter': 1000, 'penalty': 'l2', 'shuffle': True}",-3.49883491237631e+19,-3.3402676306730627e+19,-2.9816136170550356e+20,-3.6770319867183784e+16,-2.3542261543314304e+17,-9.309518519196597e+16,-2.716128128485851e+19,-5.7466744366756536e+16,-1.1981216825208536e+16,-4.1332598351196887e+18,-3.982816643376597e+19,8.725375664384595e+19,2960,-3.978428918115054e+16,-2.151816771250497e+16,-1.5768355480384476e+16,-9.241584241461877e+16,-3.9144290288225304e+16,-1.53046266156192e+16,-2.841622279136099e+16,-4.267437443828159e+16,-5.124790926971636e+16,-3.6907516479900776e+16,-3.83181594671763e+16,2.1297748022416172e+16
0,27,0.0010494470596313476,0.00032550570180317864,0.0005824089050292969,3.065655030071552e-05,1e-10,True,True,optimal,squared_error,1000,l2,False,"{'alpha': 1e-10, 'average': True, 'fit_intercept': True, 'learning_rate': 'optimal', 'loss': 'squared_error', 'max_iter': 1000, 'penalty': 'l2', 'shuffle': False}",-3.1627146020988326e+19,-1.2111963882383957e+21,-3.962519991776334e+19,-8.54873781163414e+16,-8.442224858129454e+16,-4.755005595984868e+16,-2.4925834109331517e+19,-5.626604822498957e+16,-1.2675042147037621e+17,-2.282278783104985e+19,-1.3305978322698817e+20,3.59674891724421e+20,2993,-5.8496965015750776e+16,-5.596908979971721e+16,-1.1970900926272668e+16,-3.097427186945467e+16,-4.489279514385306e+16,-2.3706687498839996e+16,-2.345770212337026e+16,-1.8644976919743052e+16,-3.6416631405583816e+16,-8.527072478950525e+16,-3.898007454920907e+16,2.129604749143175e+16
0,27,0.0010293960571289063,0.0002786452351291147,0.0005803346633911133,2.7032808586946214e-05,1e-10,True,True,optimal,squared_error,5000,l1,True,"{'alpha': 1e-10, 'average': True, 'fit_intercept': True, 'learning_rate': 'optimal', 'loss': 'squared_error', 'max_iter': 5000, 'penalty': 'l1', 'shuffle': True}",-1.1544200547279182e+19,-3.508826303314205e+19,-3.389273498167736e+20,-3.839297611255715e+17,-7.649390503896539e+16,-1.395348633099769e+17,-2.0194722588460956e+18,-4.4664610826040984e+16,-2.5460079189385667e+17,-8.235398492037029e+18,-3.9671390808027234e+19,1.002846699813699e+20,2959,-9.400675632403158e+16,-7.43771711821769e+16,-1.427512788227344e+16,-6.5878018277890296e+16,-5.522001836495976e+16,-1.3900694372506436e+16,-2.4473699748651784e+16,-1.2870862916107829e+17,-1.1086168866460195e+17,-7.23920845801132e+16,-6.540938885582837e+16,3.750643377685117e+16
0,27,0.0010432004928588867,0.0002846329479229012,0.0005776882171630859,1.9976574725673482e-05,1e-10,True,True,optimal,squared_error,5000,l1,False,"{'alpha': 1e-10, 'average': True, 'fit_intercept': True, 'learning_rate': 'optimal', 'loss': 'squared_error', 'max_iter': 5000, 'penalty': 'l1', 'shuffle': False}",-3.1627254240601866e+19,-1.211201149760324e+21,-3.962516216406665e+19,-8.548787752180507e+16,-8.442354104577301e+16,-4.755015718643594e+16,-2.4925938779263717e+19,-5.626634740735231e+16,-1.267510873070738e+17,-2.282288289069478e+19,-1.3306028668454196e+20,3.596763107681784e+20,2996,-5.849720841155966e+16,-5.5969329190246296e+16,-1.1970956020737404e+16,-3.0974377385375864e+16,-4.4893162099800456e+16,-2.3706776636287228e+16,-2.345779523107361e+16,-1.8645057733784036e+16,-3.641668646990627e+16,-8.527112727940992e+16,-3.898024764581807e+16,2.1296154058586104e+16
0,27,0.0008776187896728516,0.0002798235282111265,0.0005757570266723633,3.141673922671198e-05,1e-10,True,True,optimal,squared_error,5000,l2,True,"{'alpha': 1e-10, 'average': True, 'fit_intercept': True, 'learning_rate': 'optimal', 'loss': 'squared_error', 'max_iter': 5000, 'penalty': 'l2', 'shuffle': True}",-5.550818439972314e+19,-1.6293073136310862e+21,-1.4160737597563386e+21,-3.816738533575726e+17,-3.696330422371789e+17,-5.637960027963225e+16,-8.690321566496491e+19,-5673622469949809.0,-2.7550440461684582e+17,-4.1043806218045604e+18,-3.1929857185968783e+20,6.042385265928872e+20,3008,-5.022958946257639e+16,-2.149616065038721e+16,-2.1958767454279084e+16,-4.696907912196519e+16,-6.810238859909943e+16,-1.4707543188816752e+16,-2.475888590557662e+16,-3.396827408748282e+16,-6.2108805414441176e+16,-3.41738239743806e+16,-3.784733178590053e+16,1.730786063961873e+16
0,27,0.0008217096328735352,0.0002311578293526393,0.0005615711212158203,2.500059539616317e-05,1e-10,True,True,optimal,squared_error,5000,l2,False,"{'alpha': 1e-10, 'average': True, 'fit_intercept': True, 'learning_rate': 'optimal', 'loss': 'squared_error', 'max_iter': 5000, 'penalty': 'l2', 'shuffle': False}",-3.1627146020988326e+19,-1.2111963882383957e+21,-3.962519991776334e+19,-8.54873781163414e+16,-8.442224858129454e+16,-4.755005595984868e+16,-2.4925834109331517e+19,-5.626604822498957e+16,-1.2675042147037621e+17,-2.282278783104985e+19,-1.3305978322698817e+20,3.59674891724421e+20,2993,-5.8496965015750776e+16,-5.596908979971721e+16,-1.1970900926272668e+16,-3.097427186945467e+16,-4.489279514385306e+16,-2.3706687498839996e+16,-2.345770212337026e+16,-1.8644976919743052e+16,-3.6416631405583816e+16,-8.527072478950525e+16,-3.898007454920907e+16,2.129604749143175e+16
0,27,0.0009237051010131836,0.00029629018528250337,0.0005797386169433594,4.4158854028076875e-05,1e-10,True,True,optimal,squared_error,15000,l1,True,"{'alpha': 1e-10, 'average': True, 'fit_intercept': True, 'learning_rate': 'optimal', 'loss': 'squared_error', 'max_iter': 15000, 'penalty': 'l1', 'shuffle': True}",-1.4875294514114565e+18,-3.5678837953842794e+20,-1.9227646576175268e+21,-2.3413680219149936e+17,-1.3086928449308056e+16,-2.158318821915323e+17,-3.276976954445807e+18,-1.0312515451651083e+17,-9.800769082634693e+16,-2.2056824678692196e+19,-2.3070385566986794e+20,5.7380996530201716e+20,3004,-4.912079181729098e+16,-7.64384946358119e+16,-2.0474730168288456e+16,-6.049106289354986e+16,-5.4893551593339736e+16,-3.294032539916895e+16,-3.68992256596787e+16,-3.914423022709512e+16,-3.239054755182486e+16,-4.366875151778953e+16,-4.46461711463838e+16,1.5328310488111034e+16
0,27,0.0008640766143798828,0.00025057955540818213,0.0005696535110473633,2.313963778315157e-05,1e-10,True,True,optimal,squared_error,15000,l1,False,"{'alpha': 1e-10, 'average': True, 'fit_intercept': True, 'learning_rate': 'optimal', 'loss': 'squared_error', 'max_iter': 15000, 'penalty': 'l1', 'shuffle': False}",-3.1627254240601866e+19,-1.211201149760324e+21,-3.962516216406665e+19,-8.548787752180507e+16,-8.442354104577301e+16,-4.755015718643594e+16,-2.4925938779263717e+19,-5.626634740735231e+16,-1.267510873070738e+17,-2.282288289069478e+19,-1.3306028668454196e+20,3.596763107681784e+20,2996,-5.849720841155966e+16,-5.5969329190246296e+16,-1.1970956020737404e+16,-3.0974377385375864e+16,-4.4893162099800456e+16,-2.3706776636287228e+16,-2.345779523107361e+16,-1.8645057733784036e+16,-3.641668646990627e+16,-8.527112727940992e+16,-3.898024764581807e+16,2.1296154058586104e+16
0,27,0.0009368181228637696,0.0003111620057429578,0.0005849599838256836,3.391637321839661e-05,1e-10,True,True,optimal,squared_error,15000,l2,True,"{'alpha': 1e-10, 'average': True, 'fit_intercept': True, 'learning_rate': 'optimal', 'loss': 'squared_error', 'max_iter': 15000, 'penalty': 'l2', 'shuffle': True}",-2.41613666359871e+18,-6.0540619721536365e+19,-6.0407182312802116e+19,-6.839171004616609e+17,-5.760119896689729e+17,-2.8678941889581068e+16,-4.418517077633123e+19,-1.0795197182029112e+16,-9.332260395818827e+16,-4.2721491372192374e+18,-1.7321398444464806e+19,2.5082091902831874e+19,2952,-1.822359559055372e+16,-2.522338482778458e+16,-8646673382633718.0,-1.6356281856785632e+17,-4.9702584785449144e+16,-1.0526678441930532e+16,-4.735726056192314e+16,-1.3259548347480488e+17,-7.625992651578485e+16,-7.015827284314346e+16,-6.022566789918643e+16,4.9666647075862296e+16
0,27,0.000829005241394043,0.00023821906921353206,0.0005694150924682618,2.6822895461814624e-05,1e-10,True,True,optimal,squared_error,15000,l2,False,"{'alpha': 1e-10, 'average': True, 'fit_intercept': True, 'learning_rate': 'optimal', 'loss': 'squared_error', 'max_iter': 15000, 'penalty': 'l2', 'shuffle': False}",-3.1627146020988326e+19,-1.2111963882383957e+21,-3.962519991776334e+19,-8.54873781163414e+16,-8.442224858129454e+16,-4.755005595984868e+16,-2.4925834109331517e+19,-5.626604822498957e+16,-1.2675042147037621e+17,-2.282278783104985e+19,-1.3305978322698817e+20,3.59674891724421e+20,2993,-5.8496965015750776e+16,-5.596908979971721e+16,-1.1970900926272668e+16,-3.097427186945467e+16,-4.489279514385306e+16,-2.3706687498839996e+16,-2.345770212337026e+16,-1.8644976919743052e+16,-3.6416631405583816e+16,-8.527072478950525e+16,-3.898007454920907e+16,2.129604749143175e+16
