iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_fit_intercept,param_precompute,param_selection,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
0,740,0.004513597488403321,0.0005287310861948614,0.0006741046905517578,3.4788890085571714e-05,1e-10,True,True,cyclic,"{'alpha': 1e-10, 'fit_intercept': True, 'precompute': True, 'selection': 'cyclic'}",0.189772639521271,0.2602057079605923,0.24678200374076031,0.31803171952416265,0.28530551935976767,0.2975639654309823,0.2648977234264608,0.3694565172633921,0.29025808230135475,0.14106607181629527,0.2663339950345039,0.060983681369335775,81,0.36229539783943343,0.40685947254552135,0.38534632047616524,0.32700690955903366,0.38388363303127104,0.3412949911251014,0.3619977206820697,0.3335741642590684,0.32909344552453823,0.3948702695940135,0.36262223246362163,0.02767141077627934
0,740,0.004126739501953125,0.0003610010614828115,0.0006830692291259766,7.468920071064112e-05,1e-10,True,True,random,"{'alpha': 1e-10, 'fit_intercept': True, 'precompute': True, 'selection': 'random'}",0.1897726395213264,0.2602057079606024,0.24678200374075565,0.3180317195241644,0.2853055193597588,0.29756396543098607,0.2648977234264531,0.3694565172633847,0.2902580823013573,0.14106607181632513,0.2663339950345114,0.060983681369321655,77,0.36229539783943343,0.40685947254552135,0.38534632047616524,0.32700690955903355,0.38388363303127104,0.3412949911251014,0.3619977206820698,0.3335741642590684,0.32909344552453823,0.3948702695940134,0.36262223246362163,0.027671410776279343
0,740,0.044050407409667966,0.003767477365803689,0.0008097648620605469,4.80233494778705e-05,1e-10,True,False,cyclic,"{'alpha': 1e-10, 'fit_intercept': True, 'precompute': False, 'selection': 'cyclic'}",0.1897726395212611,0.26020570796059306,0.24678200374074966,0.31803171952416076,0.28530551935974025,0.2975639654309843,0.26489772342645945,0.3694565172633969,0.2902580823013424,0.14106607181631403,0.26633399503450017,0.06098368136933291,83,0.36229539783943343,0.40685947254552135,0.3853463204761651,0.32700690955903366,0.38388363303127104,0.3412949911251014,0.3619977206820698,0.3335741642590684,0.3290934455245381,0.3948702695940135,0.3626222324636216,0.027671410776279347
0,740,0.03942720890045166,0.0007204757077103116,0.0008862972259521485,0.00019562377935043382,1e-10,True,False,random,"{'alpha': 1e-10, 'fit_intercept': True, 'precompute': False, 'selection': 'random'}",0.18977263952126677,0.2602057079605933,0.24678200374074877,0.3180317195241611,0.2853055193597407,0.2975639654309843,0.26489772342645945,0.369456517263397,0.29025808230134265,0.14106607181631514,0.2663339950345009,0.06098368136933207,82,0.36229539783943343,0.40685947254552135,0.38534632047616524,0.32700690955903355,0.38388363303127104,0.34129499112510153,0.3619977206820698,0.3335741642590684,0.32909344552453823,0.3948702695940134,0.36262223246362163,0.027671410776279333
0,740,0.0035463809967041016,0.0003635068270519814,0.0006810903549194336,6.721239637801505e-05,1e-10,False,True,cyclic,"{'alpha': 1e-10, 'fit_intercept': False, 'precompute': True, 'selection': 'cyclic'}",0.18977263952121615,0.2602057079606488,0.24678200374076642,0.3180317195241824,0.28530551935973303,0.2975639654309774,0.2648977234264106,0.369456517263395,0.29025808230138905,0.14106607181633468,0.26633399503450533,0.060983681369336094,80,0.36229539783943343,0.40685947254552124,0.38534632047616524,0.32700690955903355,0.38388363303127104,0.3412949911251014,0.3619977206820698,0.3335741642590685,0.32909344552453823,0.3948702695940135,0.3626222324636216,0.027671410776279326
0,740,0.003604269027709961,0.0004059218020493148,0.0007065773010253906,6.62684601445598e-05,1e-10,False,True,random,"{'alpha': 1e-10, 'fit_intercept': False, 'precompute': True, 'selection': 'random'}",0.18977263952130563,0.260205707960667,0.2467820037407602,0.3180317195241875,0.2853055193597449,0.2975639654309816,0.2648977234264036,0.36945651726339346,0.29025808230137073,0.1410660718163268,0.2663339950345141,0.06098368136932656,71,0.36229539783943354,0.40685947254552146,0.38534632047616524,0.32700690955903355,0.38388363303127104,0.34129499112510153,0.3619977206820698,0.3335741642590684,0.3290934455245381,0.3948702695940135,0.3626222324636216,0.027671410776279378
0,740,0.04839768409729004,0.007546566426518466,0.0008556127548217773,0.00010252276405748237,1e-10,False,False,cyclic,"{'alpha': 1e-10, 'fit_intercept': False, 'precompute': False, 'selection': 'cyclic'}",0.18977263952125945,0.2602057079605937,0.2467820037407491,0.31803171952416165,0.28530551935974,0.2975639654309843,0.26489772342646023,0.369456517263396,0.290258082301342,0.14106607181631392,0.26633399503450006,0.060983681369333055,84,0.36229539783943343,0.40685947254552135,0.38534632047616524,0.32700690955903366,0.38388363303127104,0.34129499112510153,0.3619977206820697,0.3335741642590684,0.32909344552453823,0.3948702695940135,0.36262223246362163,0.027671410776279336
0,740,0.04426910877227783,0.004590535875144118,0.0012363195419311523,0.0008908706670784923,1e-10,False,False,random,"{'alpha': 1e-10, 'fit_intercept': False, 'precompute': False, 'selection': 'random'}",0.18977263952139778,0.2602057079605936,0.24678200374074932,0.3180317195241612,0.2853055193597347,0.29756396543098473,0.2648977234264601,0.3694565172633968,0.290258082301339,0.14106607181631914,0.2663339950345136,0.06098368136931444,72,0.36229539783943343,0.40685947254552135,0.38534632047616524,0.32700690955903366,0.38388363303127104,0.3412949911251014,0.3619977206820698,0.3335741642590684,0.32909344552453823,0.3948702695940134,0.36262223246362163,0.027671410776279326
0,740,0.0035818338394165037,0.0002722198155545413,0.0006642818450927734,7.429375417725461e-05,1e-08,True,True,cyclic,"{'alpha': 1e-08, 'fit_intercept': True, 'precompute': True, 'selection': 'cyclic'}",0.18977263952128154,0.2602057079606137,0.2467820037407391,0.31803171952418685,0.2853055193597994,0.29756396543099006,0.26489772342643914,0.3694565172634041,0.2902580823013532,0.14106607181632336,0.26633399503451305,0.0609836813693346,74,0.36229539783943343,0.40685947254552124,0.38534632047616524,0.32700690955903366,0.38388363303127104,0.3412949911251014,0.3619977206820698,0.3335741642590684,0.3290934455245381,0.3948702695940135,0.3626222324636216,0.02767141077627934
0,740,0.003970289230346679,0.0011032839890476596,0.0007517814636230468,0.00018437449341151977,1e-08,True,True,random,"{'alpha': 1e-08, 'fit_intercept': True, 'precompute': True, 'selection': 'random'}",0.1897726395212892,0.2602057079606065,0.24678200374074188,0.31803171952419695,0.28530551935976545,0.29756396543099584,0.26489772342645757,0.36945651726339257,0.29025808230136085,0.14106607181632258,0.26633399503451294,0.06098368136933218,75,0.36229539783943343,0.40685947254552146,0.38534632047616524,0.32700690955903355,0.38388363303127104,0.3412949911251014,0.3619977206820698,0.3335741642590684,0.32909344552453823,0.3948702695940135,0.36262223246362163,0.02767141077627937
