iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__base_estimator,param_model__learning_rate,param_model__loss,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
0,28,0.4286168575286865,0.0790160073189135,0.028737568855285646,0.03559947206398157,DecisionTreeRegressor(max_depth=3),0.01,square,400,"{'model__base_estimator': DecisionTreeRegressor(max_depth=3), 'model__learning_rate': 0.01, 'model__loss': 'square', 'model__n_estimators': 400}",-10276735.0,-1254421.2576923077,-3211383.25,-3087087.5168067226,-9783088.5,-2939571.7285714285,-7032549.428571429,-4743443.583333333,-9698473.175,-2285397.775,-5431215.121497521,3280812.4856951376,610,-440665.4826528406,-511345.6928476523,-435164.57531842426,-636566.1269426129,-331422.8561403041,-450994.5821293707,-477347.7179554334,-808970.8821810749,-429333.3410283418,-660524.8870400708,-518233.6144236126,134438.28861111705
0,28,0.5595109939575196,0.08237049542325935,0.026182913780212404,0.017335330907400907,DecisionTreeRegressor(max_depth=3),0.01,square,600,"{'model__base_estimator': DecisionTreeRegressor(max_depth=3), 'model__learning_rate': 0.01, 'model__loss': 'square', 'model__n_estimators': 600}",-6423429.7727272725,-1294014.8484848482,-3135973.5,-3052754.4944444443,-9402764.875,-2912912.3666666667,-7039558.833333333,-4824412.05,-9524545.063636363,-2325468.4285714286,-4993583.423286436,2803247.371249688,461,-466079.1396102232,-461506.89220512816,-426908.833077256,-636804.5951881451,-331438.29033477633,-421956.03648784553,-523557.96963059163,-850862.0673177239,-422561.51118680014,-598268.9200683761,-513994.42551068665,140907.1677498625
0,28,0.012802362442016602,0.011862058639319351,0.0055617809295654295,0.007770223243354808,DecisionTreeRegressor(max_depth=3),0.1,linear,10,"{'model__base_estimator': DecisionTreeRegressor(max_depth=3), 'model__learning_rate': 0.1, 'model__loss': 'linear', 'model__n_estimators': 10}",-5058984.0,-1034826.094017094,-3682590.5,-3070300.5,-8295866.8,-5176437.5,-3634932.25,-4285802.863636363,-5471693.416666667,-2783145.4411764704,-4249457.936549659,1842730.3589669107,226,-634742.9596031746,-406206.66436119436,-576213.2486984127,-616168.861792717,-555866.491340803,-364206.7313772894,-1169894.0456507937,-817478.0357979798,-612406.7687545788,-702510.0114199135,-645569.3818796857,214268.25895348145
0,28,0.06197359561920166,0.030106707401740634,0.0037966012954711915,0.0019287981546239213,DecisionTreeRegressor(max_depth=3),0.1,linear,50,"{'model__base_estimator': DecisionTreeRegressor(max_depth=3), 'model__learning_rate': 0.1, 'model__loss': 'linear', 'model__n_estimators': 50}",-6709523.428571429,-1307834.3125,-3118687.5,-3055789.8875,-9208856.166666666,-2364561.7083333335,-7100506.6,-4947186.69117647,-10163513.966666667,-2215128.8125,-5019158.907391457,2955714.5214262307,479,-455558.7000952381,-477085.4123938285,-389612.765989011,-641565.9521217818,-314211.733987568,-407795.91046464647,-504112.14334844245,-802389.2750478736,-411210.8923663004,-594650.40203663,-499819.318785132,136397.6916153811
0,28,0.10317893028259277,0.04872020977824311,0.01101856231689453,0.009283104983267244,DecisionTreeRegressor(max_depth=3),0.1,linear,100,"{'model__base_estimator': DecisionTreeRegressor(max_depth=3), 'model__learning_rate': 0.1, 'model__loss': 'linear', 'model__n_estimators': 100}",-6452041.125,-1371720.0178571427,-3144126.75,-3092897.3083333336,-8137572.809523809,-2488283.4375,-6947578.1,-4760771.728937728,-9860287.7,-2395964.3106060605,-4865124.328775808,2694049.0536057344,397,-519200.86342092225,-408200.87685331336,-466256.2673699634,-654900.669441938,-358559.7877821067,-490504.5972893773,-436217.522952381,-810988.4678128812,-381164.9721300072,-542479.4830952381,-506847.3508148128,130485.07387777344
0,28,0.1721421718597412,0.0751055134127079,0.022738957405090333,0.03648985252320647,DecisionTreeRegressor(max_depth=3),0.1,linear,200,"{'model__base_estimator': DecisionTreeRegressor(max_depth=3), 'model__learning_rate': 0.1, 'model__loss': 'linear', 'model__n_estimators': 200}",-6620368.857142857,-1286594.0,-3194613.5714285714,-2942127.3214285714,-8438139.722222222,-2795458.761904762,-7028346.15,-4867400.849845202,-9645967.375,-2187120.975,-4900613.75839722,2722505.1320280656,413,-461329.6975049951,-443218.84381684975,-417067.7468070818,-636609.261919858,-360764.7157039627,-428381.57561471866,-510326.5111228771,-822890.1016422042,-373891.7682964094,-572133.585949495,-502661.38083784503,134229.4191208115
0,28,0.39642550945281985,0.12591390565645025,0.0199326753616333,0.013774401679312053,DecisionTreeRegressor(max_depth=3),0.1,linear,400,"{'model__base_estimator': DecisionTreeRegressor(max_depth=3), 'model__learning_rate': 0.1, 'model__loss': 'linear', 'model__n_estimators': 400}",-6530358.166666667,-1321520.642857143,-3269142.7,-3003615.635897436,-9281331.86904762,-2758388.4166666665,-6981169.625,-4921014.8809523815,-10174740.7,-2141867.2698412696,-5038314.990692918,2916722.5518934713,490,-428834.83133333334,-448644.9302034632,-435073.80350971245,-625017.2569876235,-363465.0005418791,-459352.07052769454,-450637.25517626817,-913576.6659544313,-391397.83971783763,-596615.0123232323,-511261.46662754763,155300.879883095
0,28,0.5731905221939086,0.19538989425966827,0.056501579284667966,0.057535306119176476,DecisionTreeRegressor(max_depth=3),0.1,linear,600,"{'model__base_estimator': DecisionTreeRegressor(max_depth=3), 'model__learning_rate': 0.1, 'model__loss': 'linear', 'model__n_estimators': 600}",-6733783.90625,-1311628.888888889,-3164217.666666667,-2971355.630769231,-9134722.933333334,-2753950.9285714286,-7014874.2,-4977122.177944862,-9799738.833333334,-2046439.6,-4990783.476575775,2864553.3142869286,455,-408395.3685301365,-447118.95688156283,-452935.4015654346,-629773.3610591419,-385086.0198095238,-429973.76175158174,-497408.6082222223,-968629.9439603868,-397377.02843806194,-596505.1745501165,-521320.36247681675,168307.09905236962
0,28,0.009680700302124024,0.005906003406481109,0.006179642677307129,0.007852739060252294,DecisionTreeRegressor(max_depth=3),0.1,square,10,"{'model__base_estimator': DecisionTreeRegressor(max_depth=3), 'model__learning_rate': 0.1, 'model__loss': 'square', 'model__n_estimators': 10}",-10012607.166666666,-1035492.3181818182,-4141293.0,-3070300.5,-8034299.25,-4049032.5,-7021478.25,-4450557.110859728,-9225436.014285715,-1949661.25,-5299015.735999392,2933752.110587073,592,-595704.3341512606,-623658.6531233765,-643891.3485757576,-857603.1173731387,-427977.92093589745,-393670.20110556117,-589097.9560245309,-926451.2747815126,-434189.5143383839,-912213.6710476191,-640445.7991457038,188766.71819962154
0,28,0.04117429256439209,0.018772418042937146,0.005755209922790527,0.006791969209485253,DecisionTreeRegressor(max_depth=3),0.1,square,50,"{'model__base_estimator': DecisionTreeRegressor(max_depth=3), 'model__learning_rate': 0.1, 'model__loss': 'square', 'model__n_estimators': 50}",-6476828.166666667,-1311557.7363636363,-3150012.625,-3070300.5,-9582633.0,-2167995.1,-7153248.071428571,-5083505.086111111,-10752664.392857144,-2346646.6833333336,-5109539.136176045,3108206.7459099214,534,-554043.1143759573,-520462.70645604393,-441926.6989925304,-617988.6349501726,-423173.71576623374,-500122.3412804973,-497406.4695279165,-883767.6113199666,-490675.578491342,-582995.592948052,-551256.2464108713,124307.27692831084
