iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__bootstrap,param_model__max_depth,param_model__max_features,param_model__min_samples_leaf,param_model__min_samples_split,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
0,20,0.4051215648651123,0.12613513423994904,0.017815589904785156,0.013557152676090286,True,10,auto,1,5,400,"{'model__bootstrap': True, 'model__max_depth': 10, 'model__max_features': 'auto', 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 400}",-596555.4834798427,-2077590.5436453365,-8288296.059705942,-11789647.400563853,-3128508.7827729094,-202376.43419444514,-4522587.562815475,-106254.36728968471,-2511169.289375631,-1422675.6852833703,-3464566.1609126492,3618774.660928323,422,-2438407.6694587097,-2759008.529938845,-1519595.117884022,-1743803.3425385694,-1711103.256849582,-1298775.983552249,-1937881.217768684,-1308355.7708764332,-1418052.066734162,-2022765.1711322723,-1815774.8126733531,460643.0502070957
0,20,0.7705338716506958,0.1560785910595868,0.03772900104522705,0.0451857523955077,True,10,auto,1,5,600,"{'model__bootstrap': True, 'model__max_depth': 10, 'model__max_features': 'auto', 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__n_estimators': 600}",-664529.637854828,-2281914.110025012,-8145654.35501984,-11612867.177697811,-3326307.456649351,-123288.18469288247,-4379754.515521402,-460546.9954908602,-2473521.8399742683,-1608864.8886741826,-3507724.9161600443,3507112.6397036877,502,-2590665.437242354,-2845782.7280591237,-1532281.881997705,-1819720.011924948,-1558498.5462062703,-1293568.083161284,-1908506.9821202431,-1275142.8106245485,-1486571.8560283894,-2019679.8775639331,-1833041.82149288,502841.8360561419
0,20,0.018851399421691895,0.015024313393003304,0.004601097106933594,0.007837047608522305,True,10,auto,1,10,10,"{'model__bootstrap': True, 'model__max_depth': 10, 'model__max_features': 'auto', 'model__min_samples_leaf': 1, 'model__min_samples_split': 10, 'model__n_estimators': 10}",-1247819.07,-3816249.3421289492,-9846238.925,-11432049.357575757,-2819659.1421969696,-8975.802262459882,-2565575.810347985,-266988.1908730157,-3521821.410595238,-2531652.1103805914,-3805702.916136096,3637908.0077449996,868,-2570782.095611716,-3746847.851905159,-3344863.041433102,-2284443.902868366,-2275490.9028577437,-1856401.2502053962,-2786980.2996194554,-1922661.7168827157,-2480732.5729232803,-2976466.2163199456,-2624566.9850626877,572050.7392682511
0,20,0.09812626838684083,0.0636400412861046,0.011742663383483887,0.01648664278720298,True,10,auto,1,10,50,"{'model__bootstrap': True, 'model__max_depth': 10, 'model__max_features': 'auto', 'model__min_samples_leaf': 1, 'model__min_samples_split': 10, 'model__n_estimators': 50}",-1248235.5901856232,-3807944.7363749566,-8766278.930070348,-10650241.855996724,-3528863.505240221,-7961.952116965782,-3281603.159380287,-1208613.0316042285,-2918913.973572608,-2663948.9667910426,-3808260.570133301,3187548.212098009,875,-2950378.6917951037,-4086522.2653640537,-2797947.6867983113,-2294099.3850628887,-2061888.9281613885,-1626992.0263236302,-2755015.13168718,-1961741.497842801,-2074633.5877702858,-2627121.8341318816,-2523634.103493753,659652.314072318
0,20,0.10364882946014405,0.05967744279009048,0.02337210178375244,0.03810473728000628,True,10,auto,1,10,100,"{'model__bootstrap': True, 'model__max_depth': 10, 'model__max_features': 'auto', 'model__min_samples_leaf': 1, 'model__min_samples_split': 10, 'model__n_estimators': 100}",-1215443.501223659,-3396651.141340548,-9334165.039024247,-11014689.488528237,-3604604.4125956697,-201610.03653054778,-3703048.9658927657,-407297.78482437134,-2726013.5892955232,-2584284.761511207,-3818780.8720766776,3415488.9901849483,887,-3025223.7526499643,-4081966.0389331025,-2601013.8358163624,-2425641.4580509644,-2207645.2171434164,-1635214.4694127971,-2503840.318282704,-1978631.8111063375,-1904652.5055192402,-2633976.772489661,-2499780.6179404547,653587.2037720588
0,20,0.22144801616668702,0.10118303517728718,0.04428973197937012,0.057662929752843824,True,10,auto,1,10,200,"{'model__bootstrap': True, 'model__max_depth': 10, 'model__max_features': 'auto', 'model__min_samples_leaf': 1, 'model__min_samples_split': 10, 'model__n_estimators': 200}",-680786.8454035854,-3676554.694249063,-8927261.839571346,-10933164.031652888,-3270005.9649950503,-219984.04225481814,-2967962.5403449084,-56867.04855746217,-2882947.666087423,-3060275.509252852,-3667581.01823694,3404836.861299517,697,-2807153.7785772234,-3984982.1682323427,-2709572.9885121,-2451254.276178055,-2017684.2088721108,-1762989.6906479816,-2500995.542913502,-1894198.7596919218,-1945936.619197386,-2808571.6396548245,-2488333.9672477446,623655.597476525
0,20,0.5127238512039185,0.12790527384868672,0.0194854736328125,0.02520504044310297,True,10,auto,1,10,400,"{'model__bootstrap': True, 'model__max_depth': 10, 'model__max_features': 'auto', 'model__min_samples_leaf': 1, 'model__min_samples_split': 10, 'model__n_estimators': 400}",-841517.7043419911,-3623421.340805007,-8971291.294210881,-10918389.646278696,-3470699.592419141,-214290.9984623026,-3404945.6206532572,-739680.9724337123,-2510342.707128441,-2734754.8747768193,-3742933.4751510248,3338417.1079268362,795,-2873776.53961668,-4133297.667504854,-2630527.512018654,-2461110.9739793884,-2279633.345992022,-1593186.8953798744,-2487032.306809364,-1894922.7243179264,-1921434.1648004341,-2586084.702962636,-2486100.6833381834,663573.2959676647
0,20,0.7319961786270142,0.13642748213966688,0.05057899951934815,0.0669210239085562,True,10,auto,1,10,600,"{'model__bootstrap': True, 'model__max_depth': 10, 'model__max_features': 'auto', 'model__min_samples_leaf': 1, 'model__min_samples_split': 10, 'model__n_estimators': 600}",-787889.4085786695,-3776938.807260064,-8933761.149819644,-10823473.422219288,-3358722.8587860297,-226759.88964647474,-3502278.019319087,-599991.6794664878,-2800060.983695232,-2813890.156238791,-3762376.637502977,3316739.694439079,815,-2858751.7968501453,-4137078.714962114,-2659998.0474363794,-2501650.6523775514,-2115598.053884161,-1598952.2130154157,-2589205.910926821,-1936630.313066182,-1914108.0164904478,-2678697.3898715544,-2499067.1108880774,670411.8294404049
0,20,0.01013963222503662,0.0053354187047227174,0.003982186317443848,0.005921475187440076,True,10,auto,2,2,10,"{'model__bootstrap': True, 'model__max_depth': 10, 'model__max_features': 'auto', 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 10}",-541211.8773809522,-2005025.7551190476,-7798470.881309523,-10282729.401666665,-1736074.9133333333,-620282.2250000001,-2913891.422222222,-176505.21976190433,-2531623.685952381,-2643123.742142857,-3124893.912388888,3138947.8497197805,83,-3148629.3852941175,-2992834.125406163,-1635849.6364985993,-1891573.066018519,-1819381.6786243385,-1588092.1617592592,-2150620.2297045854,-1458915.328373016,-1903703.0326058199,-2869030.878637566,-2145862.9522921983,593203.9142411815
0,20,0.06010756492614746,0.04460780501348903,0.003752899169921875,0.0017168365631960558,True,10,auto,2,2,50,"{'model__bootstrap': True, 'model__max_depth': 10, 'model__max_features': 'auto', 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__n_estimators': 50}",-717924.9903333333,-3291165.9463333334,-7169068.460817461,-10788989.617333334,-2797202.016547619,-184422.62522222148,-4754371.0277619045,-2062634.8018888906,-3914471.203333332,-1680665.496857143,-3736091.618642857,3040161.20696976,786,-3147363.0575546226,-2878227.030913166,-1928453.1109112978,-1959286.247921957,-1833811.429167989,-1471090.0049991182,-1987517.1413333325,-1292675.0277892419,-1802359.1121124332,-2286491.8374523805,-2058727.400015554,546715.6985985138
