iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__alpha,param_model__fit_intercept,param_model__precompute,param_model__selection,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
0,254,0.03932280540466308,0.023351785718184404,0.007951045036315918,0.014666042692103254,1e-08,True,False,cyclic,"{'model__alpha': 1e-08, 'model__fit_intercept': True, 'model__precompute': False, 'model__selection': 'cyclic'}",-5910593.20688307,-4665649.912653616,-3665864.3153150096,-4710386.07790922,-6214580.777571749,-4451683.455078458,-3318190.271904394,-5311901.553558091,-2357981.0299758594,-5171105.58299093,-4577793.618384039,1128421.3454815957,73,-2922750.3755994793,-3448495.4028676655,-2816367.018008266,-3555461.9984101276,-3414063.3824659036,-3462349.5241496856,-3648668.0354908947,-3283951.530879391,-3335018.5330205928,-3113369.622515247,-3300049.542340725,257056.76496467562
0,254,0.03850855827331543,0.025887819775516744,0.0035712003707885744,0.004900310207243557,1e-08,True,False,random,"{'model__alpha': 1e-08, 'model__fit_intercept': True, 'model__precompute': False, 'model__selection': 'random'}",-5910476.279086333,-4673306.29631665,-3657274.2841469287,-4711099.42360136,-6214590.205872145,-4452360.107664995,-3313485.094585982,-5311810.52708785,-2358975.393909998,-5169455.626847266,-4577283.323911951,1129406.9757947887,41,-2922763.5260070083,-3446343.444249425,-2817024.819716291,-3555384.4574870393,-3414020.5084481924,-3462108.3808959485,-3647597.6230885624,-3283823.24400466,-3334778.9469140964,-3113347.356056806,-3299719.230686803,256636.6306125623
0,254,0.016747403144836425,0.015544085296713793,0.002303791046142578,0.0011323064246526419,1e-08,False,True,cyclic,"{'model__alpha': 1e-08, 'model__fit_intercept': False, 'model__precompute': True, 'model__selection': 'cyclic'}",-5910488.792121794,-4665883.699675795,-3666331.389624707,-4710602.875740633,-6214259.498298186,-4451719.831238794,-3317975.7121431446,-5311875.329385313,-2358055.4392522867,-5170571.437085615,-4577776.400456627,1128308.1758250128,57,-2922806.2265285472,-3448388.2891482897,-2816347.0138315186,-3555299.0740771494,-3414071.4117769245,-3462340.2340612267,-3648583.369845799,-3283905.9621288283,-3335010.768503825,-3113321.599230962,-3300007.3949133074,257021.91665347962
0,254,0.007534050941467285,0.006125662136293738,0.0069671630859375,0.015715805800695197,1e-08,False,True,random,"{'model__alpha': 1e-08, 'model__fit_intercept': False, 'model__precompute': True, 'model__selection': 'random'}",-5910485.881433439,-4667450.787209468,-3665821.9132606806,-4712174.857965332,-6222057.209313947,-4454084.750410097,-3311996.901151282,-5311801.65315098,-2360020.5084523126,-5157938.828838836,-4577383.329118637,1129108.4048186147,42,-2922758.89844011,-3448065.0815373305,-2816630.160122203,-3554565.750612988,-3413028.8378416905,-3461536.2689138004,-3647741.9704281846,-3283385.1247462793,-3334504.5382174035,-3112229.2446718873,-3299444.5875531877,256748.82509663995
0,254,0.03227112293243408,0.021162774497321093,0.006888175010681152,0.008073053279661548,1e-08,False,False,cyclic,"{'model__alpha': 1e-08, 'model__fit_intercept': False, 'model__precompute': False, 'model__selection': 'cyclic'}",-5910488.792122552,-4665883.699675318,-3666331.389624738,-4710602.875741236,-6214259.4982977025,-4451719.831239461,-3317975.712144047,-5311875.329385029,-2358055.4392523263,-5170571.437085707,-4577776.400456811,1128308.1758249037,58,-2922806.226528654,-3448388.289148362,-2816347.0138315456,-3555299.074077163,-3414071.4117767387,-3462340.234061241,-3648583.3698459915,-3283905.962128908,-3335010.768503791,-3113321.5992310015,-3300007.3949133395,257021.91665347933
0,254,0.024849700927734374,0.017281894924424963,0.0018862485885620117,0.00012727123420687618,1e-08,False,False,random,"{'model__alpha': 1e-08, 'model__fit_intercept': False, 'model__precompute': False, 'model__selection': 'random'}",-5910896.655349025,-4667520.742740569,-3665384.6598223704,-4712232.7192358365,-6215704.44964545,-4451981.461663249,-3311032.042162966,-5311758.915010441,-2360682.1943770214,-5158465.883686398,-4576565.972369333,1128295.0614135726,32,-2922758.8894360517,-3448099.14871264,-2816599.3764142664,-3554546.6778764017,-3413782.331067001,-3462196.271022916,-3647021.945345909,-3283230.8194451886,-3334482.10032326,-3112304.0668793097,-3299502.162652294,256727.51561672142
0,254,0.02037339210510254,0.017728777089424448,0.0025955677032470704,0.002436000546062826,1e-05,True,True,cyclic,"{'model__alpha': 1e-05, 'model__fit_intercept': True, 'model__precompute': True, 'model__selection': 'cyclic'}",-5910593.206733037,-4665649.912740759,-3665864.315242753,-4710386.077804469,-6214580.777489467,-4451683.454679013,-3318190.2716190126,-5311901.55351402,-2357981.030076234,-5171105.582671184,-4577793.618256995,1128421.3454541222,71,-2922750.3755199146,-3448495.402819769,-2816367.0179907563,-3555461.9983548396,-3414063.382397612,-3462349.524109628,-3648668.0354412324,-3283951.5308042886,-3335018.5330124185,-3113369.6224468183,-3300049.542289728,257056.76496442442
0,254,0.011216187477111816,0.008947270844048102,0.012499642372131348,0.0169515225776373,1e-05,True,True,random,"{'model__alpha': 1e-05, 'model__fit_intercept': True, 'model__precompute': True, 'model__selection': 'random'}",-5910203.228628817,-4674126.99564305,-3665614.050765501,-4711398.737183904,-6214427.728452147,-4453289.104728365,-3312869.5559991216,-5311891.3943992015,-2358316.7794604646,-5169707.245459718,-4578184.482072029,1128891.4937051618,83,-2922878.725326061,-3446007.4783260124,-2816528.1867368473,-3555349.515909306,-3413981.90739651,-3461749.111214023,-3647697.2102569174,-3283875.659823054,-3334940.183981401,-3113345.8319734633,-3299635.3810943593,256681.56712581107
0,254,0.05025191307067871,0.044736865180993735,0.00854334831237793,0.012076796941483125,1e-05,True,False,cyclic,"{'model__alpha': 1e-05, 'model__fit_intercept': True, 'model__precompute': False, 'model__selection': 'cyclic'}",-5910593.206733133,-4665649.912740957,-3665864.315242604,-4710386.077804443,-6214580.77748915,-4451683.454678922,-3318190.271618861,-5311901.553514001,-2357981.0300762067,-5171105.582671139,-4577793.618256941,1128421.3454541205,70,-2922750.375519909,-3448495.4028197536,-2816367.0179907605,-3555461.998354844,-3414063.3823976447,-3462349.524109671,-3648668.035441292,-3283951.5308042523,-3335018.5330124334,-3113369.6224468085,-3300049.542289737,257056.7649644374
0,254,0.07163741588592529,0.05543450805635257,0.00570836067199707,0.007458018699439297,1e-05,True,False,random,"{'model__alpha': 1e-05, 'model__fit_intercept': True, 'model__precompute': False, 'model__selection': 'random'}",-5910367.26235329,-4671867.935137501,-3661606.169584082,-4710859.987696246,-6218343.846997087,-4452146.918345202,-3315328.9172650967,-5311913.190901231,-2359220.058231286,-5168974.537966115,-4578062.882447714,1129301.2089016452,79,-2922858.021742223,-3446702.2360776286,-2816750.1461300068,-3555409.4131961977,-3413887.11184041,-3462134.5629402357,-3648248.653244985,-3283880.8272163016,-3334771.9435540354,-3113342.658118208,-3299798.557406023,256781.32641530302
