iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__alpha,param_model__average,param_model__fit_intercept,param_model__learning_rate,param_model__loss,param_model__max_iter,param_model__penalty,param_model__shuffle,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
0,20,0.005106043815612793,0.0034372551956875722,0.0017055511474609376,7.934341060554384e-05,1e-10,True,True,optimal,squared_error,15000,l2,True,"{'model__alpha': 1e-10, 'model__average': True, 'model__fit_intercept': True, 'model__learning_rate': 'optimal', 'model__loss': 'squared_error', 'model__max_iter': 15000, 'model__penalty': 'l2', 'model__shuffle': True}",-487348744593516.75,-772535571091262.1,-1366007612338780.0,-2428557883792348.5,-41757870009714.41,-195496500601699.2,-1187863423260270.8,-320328159422949.7,-244845931391719.2,-396375627746621.25,-744111732424888.2,695113149632254.4,2964,-965167054629451.4,-923732557637352.9,-880356093307377.0,-826870316022392.1,-1183193037504603.0,-975553258095093.4,-667219712838065.4,-847561165675353.1,-677454423715842.2,-1092264881605866.0,-903937250103139.6,154830293103484.12
0,20,0.004333901405334473,0.0023642682485617195,0.005795431137084961,0.01249597298217341,1e-10,True,True,optimal,squared_error,15000,l2,False,"{'model__alpha': 1e-10, 'model__average': True, 'model__fit_intercept': True, 'model__learning_rate': 'optimal', 'model__loss': 'squared_error', 'model__max_iter': 15000, 'model__penalty': 'l2', 'model__shuffle': False}",-56662965674229.29,-284845639273523.4,-459734501792648.1,-2119893384626819.2,-1564562249304487.8,-516159588187622.6,-240430177658071.88,-725720045623247.2,-288529022530766.2,-995000173005668.4,-725153774767708.4,624755782855618.5,2956,-898988301221536.2,-838613436358914.9,-951295862281775.0,-785721869120101.2,-950574139210859.4,-840014856447445.8,-608407005100667.0,-920102892581317.2,-441543549441671.44,-696703340761900.1,-793196525252618.8,157635236834256.12
0,20,0.007692694664001465,0.0037284909792279,0.0017094612121582031,0.00010349124108712508,1e-10,True,True,optimal,huber,1000,l1,True,"{'model__alpha': 1e-10, 'model__average': True, 'model__fit_intercept': True, 'model__learning_rate': 'optimal', 'model__loss': 'huber', 'model__max_iter': 1000, 'model__penalty': 'l1', 'model__shuffle': True}",-654141.4207096506,-266761.75319585914,-629235.2293947443,-744770.5168159637,-14323907.119834512,-1611040.87518012,-2257957.224912381,-536048.2121934928,-1070330.3604386474,-7193997.644825893,-2928819.035750127,4262916.4790654415,63,-5001628.409036256,-4216651.933152358,-12305277.082366472,-5759807.14633685,-8982933.952603703,-8217234.310893516,-3206367.3384681335,-4821520.813803952,-5829692.763828966,-4992636.092531522,-6333374.984302172,2587100.795168046
0,20,0.011305093765258789,0.013272112684351208,0.008617782592773437,0.019729367135315402,1e-10,True,True,optimal,huber,1000,l1,False,"{'model__alpha': 1e-10, 'model__average': True, 'model__fit_intercept': True, 'model__learning_rate': 'optimal', 'model__loss': 'huber', 'model__max_iter': 1000, 'model__penalty': 'l1', 'model__shuffle': False}",-654250.4347916379,-266684.625949322,-628779.6716885976,-744312.2846933729,-14323710.25733124,-1610902.2517329738,-2258139.15447409,-536008.7795728869,-1070506.74008975,-7194390.541861024,-2928768.4742184896,4262946.171614366,61,-5001576.412226934,-4216661.624623279,-12305240.022536991,-5759726.9394365065,-8982922.767306976,-8217180.535149993,-3206443.5568067976,-4821516.233471822,-5829756.681627625,-4992702.755837861,-6333372.752902478,2587077.19752156
0,20,0.014086532592773437,0.017448659338927433,0.0016759634017944336,8.232999521514234e-05,1e-10,True,True,optimal,huber,1000,l2,True,"{'model__alpha': 1e-10, 'model__average': True, 'model__fit_intercept': True, 'model__learning_rate': 'optimal', 'model__loss': 'huber', 'model__max_iter': 1000, 'model__penalty': 'l2', 'model__shuffle': True}",-653786.2150046095,-266754.450629535,-628855.3283423531,-745085.3933989479,-14323956.243505798,-1611450.9192231032,-2258160.1631679693,-535970.5179635308,-1070490.5250308278,-7194410.150467446,-2928891.9906734126,4262976.170657086,64,-5001669.933388275,-4216716.347256959,-12305375.894841896,-5759780.190955259,-8982980.74931705,-8217303.09494758,-3206432.3901152615,-4821644.824820768,-5829754.249886531,-4992756.0444567455,-6333441.371998632,2587104.0727285813
0,20,0.010094499588012696,0.007379355500902447,0.00178985595703125,0.00031674027667037566,1e-10,True,True,optimal,huber,1000,l2,False,"{'model__alpha': 1e-10, 'model__average': True, 'model__fit_intercept': True, 'model__learning_rate': 'optimal', 'model__loss': 'huber', 'model__max_iter': 1000, 'model__penalty': 'l2', 'model__shuffle': False}",-654311.0561827375,-266677.1486146179,-628789.9404333092,-744407.039982897,-14323810.66220389,-1610878.332127681,-2258200.4747397895,-535937.7278005849,-1070588.7516871458,-7194526.900023983,-2928812.8033796633,4262978.665534031,62,-5001649.872008278,-4216720.459662712,-12305320.628790192,-5759786.238157776,-8982987.237146817,-8217251.345955014,-3206508.102408683,-4821580.759364506,-5829820.302016712,-4992770.85592248,-6333439.580143318,2587081.312970736
0,20,0.040553879737854,0.029148087759655227,0.001872849464416504,0.00020094983884390348,1e-10,True,True,optimal,huber,5000,l1,True,"{'model__alpha': 1e-10, 'model__average': True, 'model__fit_intercept': True, 'model__learning_rate': 'optimal', 'model__loss': 'huber', 'model__max_iter': 5000, 'model__penalty': 'l1', 'model__shuffle': True}",-421310.7722618185,-1437143.856439789,-508188.8716658852,-1580383.0763223139,-12001910.641490754,-2115316.028112557,-869077.3099023369,-1812374.9162243456,-420367.2910679593,-3746327.772676344,-2491240.05361641,3312221.027846747,2,-3693710.898160288,-2893519.084081643,-9584062.362929014,-4365006.201815507,-7034644.256551313,-6720032.1632833425,-1863681.0111439538,-3783207.990424456,-4779242.464880762,-3257261.7981733223,-4797436.82314436,2205706.629377089
0,20,0.047077083587646486,0.03284515238209486,0.008356332778930664,0.019273522125827877,1e-10,True,True,optimal,huber,5000,l1,False,"{'model__alpha': 1e-10, 'model__average': True, 'model__fit_intercept': True, 'model__learning_rate': 'optimal', 'model__loss': 'huber', 'model__max_iter': 5000, 'model__penalty': 'l1', 'model__shuffle': False}",-421092.8492606499,-1437379.131447792,-507574.8052913862,-1581449.4411648237,-12002069.384288443,-2115391.9433265994,-869394.6895512377,-1812423.3533972888,-420281.2216172605,-3745994.895701197,-2491305.171504668,3312255.5770754847,3,-3693681.6618783334,-2893740.1593365264,-9583989.08841946,-4365035.33233206,-7034697.481193967,-6719969.839231949,-1863823.4768687151,-3783173.147099119,-4779253.280065135,-3257227.324701965,-4797459.0791127235,2205657.5558470986
0,20,0.026153159141540528,0.021704447879801785,0.0017742395401000976,0.00013211436083798245,1e-10,True,True,optimal,huber,5000,l2,True,"{'model__alpha': 1e-10, 'model__average': True, 'model__fit_intercept': True, 'model__learning_rate': 'optimal', 'model__loss': 'huber', 'model__max_iter': 5000, 'model__penalty': 'l2', 'model__shuffle': True}",-420363.74232680304,-1436900.1421863143,-507987.1327995324,-1577994.6482089497,-12003777.253785968,-2115231.0790334647,-869940.002375921,-1811918.7766318042,-419224.0386222992,-3748756.465488135,-2491209.328145919,3313033.4519001264,1,-3694307.7043951363,-2894161.0831295215,-9585777.986548664,-4365688.770216282,-7036012.0978878625,-6720898.279275368,-1864341.2084100486,-3783659.7420640383,-4779853.431192279,-3258288.7333713127,-4798298.903649051,2206013.7249987656
0,20,0.042976212501525876,0.024992511316660915,0.0049994468688964845,0.0066012362581412435,1e-10,True,True,optimal,huber,5000,l2,False,"{'model__alpha': 1e-10, 'model__average': True, 'model__fit_intercept': True, 'model__learning_rate': 'optimal', 'model__loss': 'huber', 'model__max_iter': 5000, 'model__penalty': 'l2', 'model__shuffle': False}",-419950.23875743896,-1436949.249520927,-507682.92149357323,-1579542.489080872,-12003849.059768964,-2115560.44013773,-870219.9249619204,-1811664.357785766,-419058.81528797606,-3748779.5703713233,-2491325.706716649,3313052.9312012973,4,-3694301.833234895,-2894324.505340586,-9585720.530673968,-4365696.44651535,-7036072.447096821,-6720901.478661814,-1864421.121224773,-3783713.381511209,-4779914.336290091,-3258398.919418634,-4798346.499996814,2205972.855906252
