iter,n_resources,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__leaf_size,param_model__metric,param_model__n_neighbors,param_model__p,param_model__weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
0,28,0.009596133232116699,0.010296372361532172,0.0024818658828735353,0.0014878172271147968,20,chebyshev,4,1,distance,"{'model__leaf_size': 20, 'model__metric': 'chebyshev', 'model__n_neighbors': 4, 'model__p': 1, 'model__weights': 'distance'}",-10788857.899287973,-7666374.304500983,-5551849.201833279,-1965516.187705289,-419010.92531215865,-4584199.493669106,-535695.9097017806,-10008230.40338261,-2008754.8989713867,-12517470.812466493,-5604596.003683106,4220288.407206382,271,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
0,28,0.006549906730651855,0.007250314150110319,0.0017821311950683594,0.00017188242746512557,20,chebyshev,4,2,uniform,"{'model__leaf_size': 20, 'model__metric': 'chebyshev', 'model__n_neighbors': 4, 'model__p': 2, 'model__weights': 'uniform'}",-10812003.875,-7688835.0,-5539148.75,-1778208.125,-416787.0,-4530167.625,-569918.875,-10134120.25,-1752207.875,-12776425.75,-5599782.3125,4316419.850394394,251,-2930432.34,-3666099.24,-3775417.75,-5041720.1,-2824029.56,-4379539.67,-2466520.39,-2702273.53,-2396780.06,-1750171.12,-3193298.3759999997,952788.6573810965
0,28,0.009418535232543945,0.012926377711199245,0.004186844825744629,0.006276375971126504,20,chebyshev,4,2,distance,"{'model__leaf_size': 20, 'model__metric': 'chebyshev', 'model__n_neighbors': 4, 'model__p': 2, 'model__weights': 'distance'}",-10788857.899287973,-7666374.304500983,-5551849.201833279,-1965516.187705289,-419010.92531215865,-4584199.493669106,-535695.9097017806,-10008230.40338261,-2008754.8989713867,-12517470.812466493,-5604596.003683106,4220288.407206382,271,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
0,28,0.009055352210998536,0.012257990560954245,0.013228058815002441,0.014847866980812934,20,chebyshev,6,1,uniform,"{'model__leaf_size': 20, 'model__metric': 'chebyshev', 'model__n_neighbors': 6, 'model__p': 1, 'model__weights': 'uniform'}",-11061486.0,-10082765.75,-5676432.083333334,-1348119.0000000002,-166582.00000000006,-4438710.916666666,-707718.5000000001,-9291089.833333334,-1336233.25,-13621199.25,-5773033.658333333,4676071.810476276,351,-3114563.686666667,-4259604.726666667,-3539390.8799999994,-5336411.100000001,-2838001.1600000006,-4527214.96,-2585595.6933333334,-3069669.086666667,-2553946.1799999997,-2037712.6133333337,-3386211.008666667,975606.1560550529
0,28,0.011357998847961426,0.017266776030788716,0.002599620819091797,0.002115579774760439,20,chebyshev,6,1,distance,"{'model__leaf_size': 20, 'model__metric': 'chebyshev', 'model__n_neighbors': 6, 'model__p': 1, 'model__weights': 'distance'}",-11011960.183810078,-9888744.339219451,-5671305.901486785,-1514806.6136381205,-133871.55774607067,-4543785.0210451875,-668328.3807190838,-9258402.89629985,-1526463.8923510362,-13347172.739975046,-5756484.152629072,4576499.606664989,311,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
0,28,0.00807809829711914,0.009741688499490428,0.00781576633453369,0.012701523516580217,20,chebyshev,6,2,uniform,"{'model__leaf_size': 20, 'model__metric': 'chebyshev', 'model__n_neighbors': 6, 'model__p': 2, 'model__weights': 'uniform'}",-11061486.0,-10082765.75,-5676432.083333334,-1348119.0000000002,-166582.00000000006,-4438710.916666666,-707718.5000000001,-9291089.833333334,-1336233.25,-13621199.25,-5773033.658333333,4676071.810476276,351,-3114563.686666667,-4259604.726666667,-3539390.8799999994,-5336411.100000001,-2838001.1600000006,-4527214.96,-2585595.6933333334,-3069669.086666667,-2553946.1799999997,-2037712.6133333337,-3386211.008666667,975606.1560550529
0,28,0.00813918113708496,0.016506027250126117,0.0023355722427368165,0.0019838660383961395,20,chebyshev,6,2,distance,"{'model__leaf_size': 20, 'model__metric': 'chebyshev', 'model__n_neighbors': 6, 'model__p': 2, 'model__weights': 'distance'}",-11011960.183810078,-9888744.339219451,-5671305.901486785,-1514806.6136381205,-133871.55774607067,-4543785.0210451875,-668328.3807190838,-9258402.89629985,-1526463.8923510362,-13347172.739975046,-5756484.152629072,4576499.606664989,311,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
0,28,0.0025238752365112304,3.8368276073875555e-05,0.0016614913940429688,0.00012951413370445447,20,chebyshev,8,1,uniform,"{'model__leaf_size': 20, 'model__metric': 'chebyshev', 'model__n_neighbors': 8, 'model__p': 1, 'model__weights': 'uniform'}",-9921062.375,-10218262.5625,-5961955.0,-1769217.875,-666941.1875,-3966411.4375,-1246394.8125,-9225212.5625,-1930701.5,-13963867.5,-5887002.68125,4432830.732120676,411,-3260199.72,-4565610.93,-3729767.005,-5542325.715,-2588866.995,-4593447.58,-2672830.265,-3459668.285,-2730564.05,-2143314.945,-3528659.5489999996,1027275.8993584631
0,28,0.0038822650909423827,0.0025453371856183353,0.003290104866027832,0.004537571101690222,20,chebyshev,8,1,distance,"{'model__leaf_size': 20, 'model__metric': 'chebyshev', 'model__n_neighbors': 8, 'model__p': 1, 'model__weights': 'distance'}",-9986720.893425174,-10072569.674246041,-5922549.487818591,-1998248.6802902669,-579296.2142240434,-4159531.1755836057,-1107005.5179126798,-9219007.900538092,-2000450.402887851,-13710537.461549986,-5875591.740847634,4368850.5594584895,391,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0
0,28,0.002635693550109863,0.0002182673443846415,0.006617403030395508,0.014752403234824985,20,chebyshev,8,2,uniform,"{'model__leaf_size': 20, 'model__metric': 'chebyshev', 'model__n_neighbors': 8, 'model__p': 2, 'model__weights': 'uniform'}",-9921062.375,-10218262.5625,-5961955.0,-1769217.875,-666941.1875,-3966411.4375,-1246394.8125,-9225212.5625,-1930701.5,-13963867.5,-5887002.68125,4432830.732120676,411,-3260199.72,-4565610.93,-3729767.005,-5542325.715,-2588866.995,-4593447.58,-2672830.265,-3459668.285,-2730564.05,-2143314.945,-3528659.5489999996,1027275.8993584631
